Front,Back,Level,Topic,Tags
Що таке Akkusativ?,"<div class=""rule""><b>Akkusativ</b><br>Найчастіше це прямий додаток: кого? що?</div><div class=""example""><b>Приклад:</b><br>Ich sehe <b>den Mann</b>.</div>",A1–A2,02 Akkusativ,grammar cases akkusativ A1 A2
Які питання має Akkusativ?,"<div class=""rule""><b>Питання</b><br><b>Wen? Was?</b> — кого? що?</div><div class=""example""><b>Приклад:</b><br>Wen siehst du? — <b>Den Lehrer.</b></div>",A1–A2,02 Akkusativ,grammar cases akkusativ A1 A2
Що найпомітніше змінюється в Akkusativ?,"<div class=""rule""><b>Чоловічий рід</b><br>der → <b>den</b>, ein → <b>einen</b>, mein → <b>meinen</b>, kein → <b>keinen</b>.</div><div class=""example""><b>Приклад:</b><br>Ich kaufe <b>einen Kaffee</b>.</div>",A1–A2,02 Akkusativ,grammar cases akkusativ A1 A2
der → Akkusativ?,"<div class=""rule""><b>Форма</b><br><b>den</b></div><div class=""example""><b>Приклад:</b><br>Ich sehe <b>den Mann</b>.</div>",A1–A2,02 Akkusativ,grammar cases akkusativ article
die → Akkusativ?,"<div class=""rule""><b>Форма</b><br><b>die</b></div><div class=""example""><b>Приклад:</b><br>Ich sehe <b>die Frau</b>.</div>",A1–A2,02 Akkusativ,grammar cases akkusativ article
das → Akkusativ?,"<div class=""rule""><b>Форма</b><br><b>das</b></div><div class=""example""><b>Приклад:</b><br>Ich sehe <b>das Kind</b>.</div>",A1–A2,02 Akkusativ,grammar cases akkusativ article
die (Plural) → Akkusativ?,"<div class=""rule""><b>Форма</b><br><b>die</b></div><div class=""example""><b>Приклад:</b><br>Ich sehe <b>die Kinder</b>.</div>",A1–A2,02 Akkusativ,grammar cases akkusativ article
ein (чол.) → Akkusativ?,"<div class=""rule""><b>Форма</b><br><b>einen</b></div><div class=""example""><b>Приклад:</b><br>Ich kaufe <b>einen Computer</b>.</div>",A1–A2,02 Akkusativ,grammar cases akkusativ article
eine → Akkusativ?,"<div class=""rule""><b>Форма</b><br><b>eine</b></div><div class=""example""><b>Приклад:</b><br>Ich kaufe <b>eine Tasche</b>.</div>",A1–A2,02 Akkusativ,grammar cases akkusativ article
ein (сер.) → Akkusativ?,"<div class=""rule""><b>Форма</b><br><b>ein</b></div><div class=""example""><b>Приклад:</b><br>Ich habe <b>ein Problem</b>.</div>",A1–A2,02 Akkusativ,grammar cases akkusativ article
kein (чол.) → Akkusativ?,"<div class=""rule""><b>Форма</b><br><b>keinen</b></div><div class=""example""><b>Приклад:</b><br>Ich trinke <b>keinen Kaffee</b>.</div>",A1–A2,02 Akkusativ,grammar cases akkusativ article
mein (чол.) → Akkusativ?,"<div class=""rule""><b>Форма</b><br><b>meinen</b></div><div class=""example""><b>Приклад:</b><br>Ich sehe <b>meinen Bruder</b>.</div>",A1–A2,02 Akkusativ,grammar cases akkusativ article
ich → Akkusativ?,"<div class=""rule""><b>Особовий займенник</b><br><b>mich</b></div><div class=""example""><b>Приклад:</b><br>Er sieht <b>mich</b>.</div>",A1–A2,02 Akkusativ,grammar cases akkusativ pronoun
du → Akkusativ?,"<div class=""rule""><b>Особовий займенник</b><br><b>dich</b></div><div class=""example""><b>Приклад:</b><br>Ich höre <b>dich</b>.</div>",A1–A2,02 Akkusativ,grammar cases akkusativ pronoun
er → Akkusativ?,"<div class=""rule""><b>Особовий займенник</b><br><b>ihn</b></div><div class=""example""><b>Приклад:</b><br>Wir besuchen <b>ihn</b>.</div>",A1–A2,02 Akkusativ,grammar cases akkusativ pronoun
sie → Akkusativ?,"<div class=""rule""><b>Особовий займенник</b><br><b>sie</b></div><div class=""example""><b>Приклад:</b><br>Ich kenne <b>sie</b>.</div>",A1–A2,02 Akkusativ,grammar cases akkusativ pronoun
es → Akkusativ?,"<div class=""rule""><b>Особовий займенник</b><br><b>es</b></div><div class=""example""><b>Приклад:</b><br>Ich brauche <b>es</b>.</div>",A1–A2,02 Akkusativ,grammar cases akkusativ pronoun
wir → Akkusativ?,"<div class=""rule""><b>Особовий займенник</b><br><b>uns</b></div><div class=""example""><b>Приклад:</b><br>Er ruft <b>uns</b> an.</div>",A1–A2,02 Akkusativ,grammar cases akkusativ pronoun
ihr → Akkusativ?,"<div class=""rule""><b>Особовий займенник</b><br><b>euch</b></div><div class=""example""><b>Приклад:</b><br>Ich sehe <b>euch</b>.</div>",A1–A2,02 Akkusativ,grammar cases akkusativ pronoun
sie/Sie → Akkusativ?,"<div class=""rule""><b>Особовий займенник</b><br><b>sie/Sie</b></div><div class=""example""><b>Приклад:</b><br>Ich frage <b>Sie</b>.</div>",A1–A2,02 Akkusativ,grammar cases akkusativ pronoun
Який відмінок вимагає дієслово <b>haben</b> для прямого об'єкта?,"<div class=""rule""><b>Akkusativ</b><br>мати</div><div class=""example""><b>Приклад:</b><br>Ich habe <b>einen Termin</b>.</div>",A1–A2,02 Akkusativ,grammar cases akkusativ verb
Який відмінок вимагає дієслово <b>brauchen</b> для прямого об'єкта?,"<div class=""rule""><b>Akkusativ</b><br>потребувати</div><div class=""example""><b>Приклад:</b><br>Wir brauchen <b>einen Arzt</b>.</div>",A1–A2,02 Akkusativ,grammar cases akkusativ verb
Який відмінок вимагає дієслово <b>sehen</b> для прямого об'єкта?,"<div class=""rule""><b>Akkusativ</b><br>бачити</div><div class=""example""><b>Приклад:</b><br>Ich sehe <b>den Bus</b>.</div>",A1–A2,02 Akkusativ,grammar cases akkusativ verb
