Front,Back,Level,Topic,Tags
Satzklammer?,"<div class=""rule""><b>Satzklammer</b><br>Відмінювана частина стоїть на позиції 2, інша частина присудка — в кінці.</div><div class=""example""><b>Приклад:</b><br>Wir <b>fangen</b> um acht Uhr <b>an</b>.</div>",A2,M03 02 Satzklammer & Nebensatz,grammar word-order clause A2
Практика 1: складіть речення за правилом «Satzklammer».,"<div class=""rule""><b>Модель</b><br>Відмінювана частина стоїть на позиції 2, інша частина присудка — в кінці.</div><div class=""example""><b>Правильно:</b><br>Wir <b>fangen</b> um acht Uhr <b>an</b>.</div>",A2,M03 02 Satzklammer & Nebensatz,grammar word-order clause retrieval
Відокремлюване дієслово?,"<div class=""rule""><b>Відокремлюване дієслово</b><br>Префікс відокремлюється й переходить у кінець Hauptsatz.</div><div class=""example""><b>Приклад:</b><br>Sie <b>ruft</b> ihre Mutter <b>an</b>.</div>",A1–A2,M03 02 Satzklammer & Nebensatz,grammar word-order clause A1 A2
Практика 2: складіть речення за правилом «Відокремлюване дієслово».,"<div class=""rule""><b>Модель</b><br>Префікс відокремлюється й переходить у кінець Hauptsatz.</div><div class=""example""><b>Правильно:</b><br>Sie <b>ruft</b> ihre Mutter <b>an</b>.</div>",A1–A2,M03 02 Satzklammer & Nebensatz,grammar word-order clause retrieval
Modalverb + Infinitiv?,"<div class=""rule""><b>Modalverb + Infinitiv</b><br>Модальне дієслово відмінюється, інфінітив стоїть у кінці.</div><div class=""example""><b>Приклад:</b><br>Ich <b>muss</b> morgen länger <b>arbeiten</b>.</div>",A1–A2,M03 02 Satzklammer & Nebensatz,grammar word-order clause A1 A2
Практика 3: складіть речення за правилом «Modalverb + Infinitiv».,"<div class=""rule""><b>Модель</b><br>Модальне дієслово відмінюється, інфінітив стоїть у кінці.</div><div class=""example""><b>Правильно:</b><br>Ich <b>muss</b> morgen länger <b>arbeiten</b>.</div>",A1–A2,M03 02 Satzklammer & Nebensatz,grammar word-order clause retrieval
Perfekt у Hauptsatz?,"<div class=""rule""><b>Perfekt у Hauptsatz</b><br>Допоміжне haben/sein стоїть на позиції 2, Partizip II — в кінці.</div><div class=""example""><b>Приклад:</b><br>Wir <b>haben</b> den Film <b>gesehen</b>.</div>",A2,M03 02 Satzklammer & Nebensatz,grammar word-order clause A2
Практика 4: складіть речення за правилом «Perfekt у Hauptsatz».,"<div class=""rule""><b>Модель</b><br>Допоміжне haben/sein стоїть на позиції 2, Partizip II — в кінці.</div><div class=""example""><b>Правильно:</b><br>Wir <b>haben</b> den Film <b>gesehen</b>.</div>",A2,M03 02 Satzklammer & Nebensatz,grammar word-order clause retrieval
Futur I у Hauptsatz?,"<div class=""rule""><b>Futur I у Hauptsatz</b><br>Werden стоїть на позиції 2, інфінітив — у кінці.</div><div class=""example""><b>Приклад:</b><br>Ich <b>werde</b> dich morgen <b>anrufen</b>.</div>",B1,M03 02 Satzklammer & Nebensatz,grammar word-order clause B1
Практика 5: складіть речення за правилом «Futur I у Hauptsatz».,"<div class=""rule""><b>Модель</b><br>Werden стоїть на позиції 2, інфінітив — у кінці.</div><div class=""example""><b>Правильно:</b><br>Ich <b>werde</b> dich morgen <b>anrufen</b>.</div>",B1,M03 02 Satzklammer & Nebensatz,grammar word-order clause retrieval
Відокремлюване дієслово в Perfekt?,"<div class=""rule""><b>Відокремлюване дієслово в Perfekt</b><br>Префікс входить усередину Partizip II; форма не розділяється.</div><div class=""example""><b>Приклад:</b><br>Der Zug <b>ist angekommen</b>.</div>",A2,M03 02 Satzklammer & Nebensatz,grammar word-order clause A2
Практика 6: складіть речення за правилом «Відокремлюване дієслово в Perfekt».,"<div class=""rule""><b>Модель</b><br>Префікс входить усередину Partizip II; форма не розділяється.</div><div class=""example""><b>Правильно:</b><br>Der Zug <b>ist angekommen</b>.</div>",A2,M03 02 Satzklammer & Nebensatz,grammar word-order clause retrieval
Nebensatz: дієслово в кінці?,"<div class=""rule""><b>Nebensatz: дієслово в кінці</b><br>Після підрядного сполучника відмінюване дієслово стоїть у кінці.</div><div class=""example""><b>Приклад:</b><br>Ich bleibe zu Hause, weil ich krank <b>bin</b>.</div>",A2,M03 02 Satzklammer & Nebensatz,grammar word-order clause A2
Практика 7: складіть речення за правилом «Nebensatz: дієслово в кінці».,"<div class=""rule""><b>Модель</b><br>Після підрядного сполучника відмінюване дієслово стоїть у кінці.</div><div class=""example""><b>Правильно:</b><br>Ich bleibe zu Hause, weil ich krank <b>bin</b>.</div>",A2,M03 02 Satzklammer & Nebensatz,grammar word-order clause retrieval
Nebensatz перед Hauptsatz?,"<div class=""rule""><b>Nebensatz перед Hauptsatz</b><br>У підрядній частині дієслово в кінці; головна починається з дієслова.</div><div class=""example""><b>Приклад:</b><br>Wenn ich Zeit <b>habe</b>, <b>besuche</b> ich dich.</div>",A2–B1,M03 02 Satzklammer & Nebensatz,grammar word-order clause A2 B1
