Front,Back,Level,Topic,Tags
Nicht: заперечення речення?,"<div class=""rule""><b>Nicht: заперечення речення</b><br>Nicht зазвичай стоїть ближче до кінця, але перед другою частиною присудка.</div><div class=""example""><b>Приклад:</b><br>Ich <b>komme heute nicht</b>.</div>",A2,M03 03 Mittelfeld & Objects,grammar word-order mittelfeld A2
Практика 1: складіть речення за правилом «Nicht: заперечення речення».,"<div class=""rule""><b>Модель</b><br>Nicht зазвичай стоїть ближче до кінця, але перед другою частиною присудка.</div><div class=""example""><b>Правильно:</b><br>Ich <b>komme heute nicht</b>.</div>",A2,M03 03 Mittelfeld & Objects,grammar word-order mittelfeld retrieval
Nicht: часткове заперечення?,"<div class=""rule""><b>Nicht: часткове заперечення</b><br>Nicht ставимо безпосередньо перед елементом, який заперечуємо.</div><div class=""example""><b>Приклад:</b><br>Ich fahre <b>nicht heute</b>, sondern morgen.</div>",A2–B1,M03 03 Mittelfeld & Objects,grammar word-order mittelfeld A2 B1
Практика 2: складіть речення за правилом «Nicht: часткове заперечення».,"<div class=""rule""><b>Модель</b><br>Nicht ставимо безпосередньо перед елементом, який заперечуємо.</div><div class=""example""><b>Правильно:</b><br>Ich fahre <b>nicht heute</b>, sondern morgen.</div>",A2–B1,M03 03 Mittelfeld & Objects,grammar word-order mittelfeld retrieval
Auch?,"<div class=""rule""><b>Auch</b><br>Auch зазвичай стоїть перед елементом, якого стосується.</div><div class=""example""><b>Приклад:</b><br>Ich lerne <b>auch Spanisch</b>.</div>",A2,M03 03 Mittelfeld & Objects,grammar word-order mittelfeld A2
Практика 3: складіть речення за правилом «Auch».,"<div class=""rule""><b>Модель</b><br>Auch зазвичай стоїть перед елементом, якого стосується.</div><div class=""example""><b>Правильно:</b><br>Ich lerne <b>auch Spanisch</b>.</div>",A2,M03 03 Mittelfeld & Objects,grammar word-order mittelfeld retrieval
Nur?,"<div class=""rule""><b>Nur</b><br>Nur стоїть перед обмежуваним елементом.</div><div class=""example""><b>Приклад:</b><br>Wir haben <b>nur zehn Minuten</b>.</div>",A2,M03 03 Mittelfeld & Objects,grammar word-order mittelfeld A2
Практика 4: складіть речення за правилом «Nur».,"<div class=""rule""><b>Модель</b><br>Nur стоїть перед обмежуваним елементом.</div><div class=""example""><b>Правильно:</b><br>Wir haben <b>nur zehn Minuten</b>.</div>",A2,M03 03 Mittelfeld & Objects,grammar word-order mittelfeld retrieval
Schon і noch?,"<div class=""rule""><b>Schon і noch</b><br>Ці частки зазвичай стоять у Mittelfeld перед головною смисловою частиною.</div><div class=""example""><b>Приклад:</b><br>Ich habe den Bericht <b>schon gelesen</b>, aber sie arbeitet <b>noch daran</b>.</div>",A2–B1,M03 03 Mittelfeld & Objects,grammar word-order mittelfeld A2 B1
Практика 5: складіть речення за правилом «Schon і noch».,"<div class=""rule""><b>Модель</b><br>Ці частки зазвичай стоять у Mittelfeld перед головною смисловою частиною.</div><div class=""example""><b>Правильно:</b><br>Ich habe den Bericht <b>schon gelesen</b>, aber sie arbeitet <b>noch daran</b>.</div>",A2–B1,M03 03 Mittelfeld & Objects,grammar word-order mittelfeld retrieval
