Front,Back,Level,Topic,Tags
und / aber / oder?,"<div class=""rule""><b>und / aber / oder</b><br>Сурядні сполучники не змінюють порядок Hauptsatz.</div><div class=""example""><b>Приклад:</b><br>Er arbeitet, <b>aber er hört</b> Musik.</div>",A1–A2,M04 02 Coordinating & Connectors,grammar conjunctions connectors A1 A2
Практика 1: складіть речення за правилом «und / aber / oder».,"<div class=""rule""><b>Модель</b><br>Сурядні сполучники не змінюють порядок Hauptsatz.</div><div class=""example""><b>Правильно:</b><br>Er arbeitet, <b>aber er hört</b> Musik.</div>",A1–A2,M04 02 Coordinating & Connectors,grammar conjunctions connectors retrieval
denn?,"<div class=""rule""><b>denn</b><br>Означає причину, але після нього дієслово лишається на позиції 2.</div><div class=""example""><b>Приклад:</b><br>Ich gehe, <b>denn ich bin</b> müde.</div>",A2,M04 02 Coordinating & Connectors,grammar conjunctions connectors A2
Практика 2: складіть речення за правилом «denn».,"<div class=""rule""><b>Модель</b><br>Означає причину, але після нього дієслово лишається на позиції 2.</div><div class=""example""><b>Правильно:</b><br>Ich gehe, <b>denn ich bin</b> müde.</div>",A2,M04 02 Coordinating & Connectors,grammar conjunctions connectors retrieval
sondern?,"<div class=""rule""><b>sondern</b><br>Виправляє заперечений елемент і не змінює порядок слів.</div><div class=""example""><b>Приклад:</b><br>Er fährt <b>nicht nach Bonn, sondern er fährt nach Köln</b>.</div>",A2,M04 02 Coordinating & Connectors,grammar conjunctions connectors A2
Практика 3: складіть речення за правилом «sondern».,"<div class=""rule""><b>Модель</b><br>Виправляє заперечений елемент і не змінює порядок слів.</div><div class=""example""><b>Правильно:</b><br>Er fährt <b>nicht nach Bonn, sondern er fährt nach Köln</b>.</div>",A2,M04 02 Coordinating & Connectors,grammar conjunctions connectors retrieval
deshalb / deswegen / darum / daher?,"<div class=""rule""><b>deshalb / deswegen / darum / daher</b><br>Це конектори; після них відбувається інверсія.</div><div class=""example""><b>Приклад:</b><br>Es regnet. <b>Deshalb bleiben wir</b> zu Hause.</div>",A2–B1,M04 02 Coordinating & Connectors,grammar conjunctions connectors A2 B1
Практика 4: складіть речення за правилом «deshalb / deswegen / darum / daher».,"<div class=""rule""><b>Модель</b><br>Це конектори; після них відбувається інверсія.</div><div class=""example""><b>Правильно:</b><br>Es regnet. <b>Deshalb bleiben wir</b> zu Hause.</div>",A2–B1,M04 02 Coordinating & Connectors,grammar conjunctions connectors retrieval
trotzdem / dennoch?,"<div class=""rule""><b>trotzdem / dennoch</b><br>Позначають несподіваний наслідок; після них дієслово перед підметом.</div><div class=""example""><b>Приклад:</b><br>Er war müde. <b>Dennoch arbeitete er</b> weiter.</div>",B1–B2,M04 02 Coordinating & Connectors,grammar conjunctions connectors B1 B2
Практика 5: складіть речення за правилом «trotzdem / dennoch».,"<div class=""rule""><b>Модель</b><br>Позначають несподіваний наслідок; після них дієслово перед підметом.</div><div class=""example""><b>Правильно:</b><br>Er war müde. <b>Dennoch arbeitete er</b> weiter.</div>",B1–B2,M04 02 Coordinating & Connectors,grammar conjunctions connectors retrieval
außerdem?,"<div class=""rule""><b>außerdem</b><br>Додає аргумент; після нього інверсія.</div><div class=""example""><b>Приклад:</b><br>Der Kurs ist günstig. <b>Außerdem beginnt er</b> bald.</div>",B1,M04 02 Coordinating & Connectors,grammar conjunctions connectors B1
