Front,Back,Level,Topic,Tags
Проста різниця: Akkusativ vs Dativ?,"<div class=""rule""><b>Коротко</b><br><b>Akkusativ</b>: кого? що?<br><b>Dativ</b>: кому? чому?</div><div class=""example""><b>Приклад:</b><br>Ich gebe <b>dem Kind</b> <b>den Ball</b>.</div>",A2,04 Akkusativ vs Dativ,grammar cases compare A2
Ich sehe ___ Mann. der → ?,"<div class=""rule""><b>Akkusativ</b><br><b>den Mann</b></div><div class=""example""><b>Приклад:</b><br>Ich sehe <b>den Mann</b>.</div>",A2,04 Akkusativ vs Dativ,grammar cases compare A2
Ich helfe ___ Mann. der → ?,"<div class=""rule""><b>Dativ</b><br><b>dem Mann</b></div><div class=""example""><b>Приклад:</b><br>Ich helfe <b>dem Mann</b>.</div>",A2,04 Akkusativ vs Dativ,grammar cases compare A2
Ich kenne ___. er → ?,"<div class=""rule""><b>Akkusativ</b><br><b>ihn</b></div><div class=""example""><b>Приклад:</b><br>Ich kenne <b>ihn</b>.</div>",A2,04 Akkusativ vs Dativ,grammar cases compare A2
Ich danke ___. er → ?,"<div class=""rule""><b>Dativ</b><br><b>ihm</b></div><div class=""example""><b>Приклад:</b><br>Ich danke <b>ihm</b>.</div>",A2,04 Akkusativ vs Dativ,grammar cases compare A2
Sie besucht ___. ich → ?,"<div class=""rule""><b>Akkusativ</b><br><b>mich</b></div><div class=""example""><b>Приклад:</b><br>Sie besucht <b>mich</b>.</div>",A2,04 Akkusativ vs Dativ,grammar cases compare A2
Sie hilft ___. ich → ?,"<div class=""rule""><b>Dativ</b><br><b>mir</b></div><div class=""example""><b>Приклад:</b><br>Sie hilft <b>mir</b>.</div>",A2,04 Akkusativ vs Dativ,grammar cases compare A2
"У реченні «Ich gebe dem Mann das Buch» що є Dativ, а що Akkusativ?","<div class=""rule""><b>Два об'єкти</b><br><b>dem Mann</b> = Dativ (кому?), <b>das Buch</b> = Akkusativ (що?).</div><div class=""example""><b>Приклад:</b><br>Ich gebe <b>dem Mann</b> <b>das Buch</b>.</div>",A2,04 Akkusativ vs Dativ,grammar cases compare two_objects A2
Типовий порядок двох іменників: Dativ + Akkusativ?,"<div class=""rule""><b>Порядок</b><br>Якщо обидва об'єкти — іменники, часто: <b>Dativ перед Akkusativ</b>.</div><div class=""example""><b>Приклад:</b><br>Ich gebe <b>dem Kind</b> <b>den Ball</b>.</div>",A2–B1,04 Akkusativ vs Dativ,grammar cases compare wordorder
"Що часто відбувається, якщо один об'єкт — займенник?","<div class=""rule""><b>Займенник</b><br>Займенник часто ставиться раніше за іменник.</div><div class=""example""><b>Приклад:</b><br>Ich gebe <b>ihm</b> das Buch.</div>",A2–B1,04 Akkusativ vs Dativ,grammar cases compare wordorder
