Front,Back,Level,Topic,Tags
Perfekt з haben?,"<div class=""rule""><b>Perfekt з haben</b><br>Haben + Partizip II; типово для більшості дієслів.</div><div class=""example""><b>Приклад:</b><br>Ich <b>habe den Bericht geschrieben</b>.</div>",A2,M05 02 Perfekt & Präteritum,grammar tenses past A2
Практика 1: складіть речення за правилом «Perfekt з haben».,"<div class=""rule""><b>Модель</b><br>Haben + Partizip II; типово для більшості дієслів.</div><div class=""example""><b>Правильно:</b><br>Ich <b>habe den Bericht geschrieben</b>.</div>",A2,M05 02 Perfekt & Präteritum,grammar tenses past retrieval
Perfekt з sein?,"<div class=""rule""><b>Perfekt з sein</b><br>Sein + Partizip II; типово для руху зі зміною місця та зміни стану.</div><div class=""example""><b>Приклад:</b><br>Wir <b>sind nach Hause gegangen</b>.</div>",A2,M05 02 Perfekt & Präteritum,grammar tenses past A2
Практика 2: складіть речення за правилом «Perfekt з sein».,"<div class=""rule""><b>Модель</b><br>Sein + Partizip II; типово для руху зі зміною місця та зміни стану.</div><div class=""example""><b>Правильно:</b><br>Wir <b>sind nach Hause gegangen</b>.</div>",A2,M05 02 Perfekt & Präteritum,grammar tenses past retrieval
Partizip II регулярне?,"<div class=""rule""><b>Partizip II регулярне</b><br>ge- + основа + -t.</div><div class=""example""><b>Приклад:</b><br>machen → <b>gemacht</b></div>",A1–A2,M05 02 Perfekt & Präteritum,grammar tenses past A1 A2
Практика 3: складіть речення за правилом «Partizip II регулярне».,"<div class=""rule""><b>Модель</b><br>ge- + основа + -t.</div><div class=""example""><b>Правильно:</b><br>machen → <b>gemacht</b></div>",A1–A2,M05 02 Perfekt & Präteritum,grammar tenses past retrieval
Partizip II сильне?,"<div class=""rule""><b>Partizip II сильне</b><br>Часто ge- + змінена основа + -en; форму треба вчити.</div><div class=""example""><b>Приклад:</b><br>schreiben → <b>geschrieben</b></div>",A2,M05 02 Perfekt & Präteritum,grammar tenses past A2
Практика 4: складіть речення за правилом «Partizip II сильне».,"<div class=""rule""><b>Модель</b><br>Часто ge- + змінена основа + -en; форму треба вчити.</div><div class=""example""><b>Правильно:</b><br>schreiben → <b>geschrieben</b></div>",A2,M05 02 Perfekt & Präteritum,grammar tenses past retrieval
Partizip II змішане?,"<div class=""rule""><b>Partizip II змішане</b><br>Зміна основи поєднується із закінченням -t.</div><div class=""example""><b>Приклад:</b><br>bringen → <b>gebracht</b></div>",A2,M05 02 Perfekt & Präteritum,grammar tenses past A2
Практика 5: складіть речення за правилом «Partizip II змішане».,"<div class=""rule""><b>Модель</b><br>Зміна основи поєднується із закінченням -t.</div><div class=""example""><b>Правильно:</b><br>bringen → <b>gebracht</b></div>",A2,M05 02 Perfekt & Präteritum,grammar tenses past retrieval
Partizip II відокремлюваного дієслова?,"<div class=""rule""><b>Partizip II відокремлюваного дієслова</b><br>ge стоїть між префіксом та основою.</div><div class=""example""><b>Приклад:</b><br>einkaufen → <b>eingekauft</b></div>",A2,M05 02 Perfekt & Präteritum,grammar tenses past A2
