Front,Back,Level,Topic,Tags
Futur I?,"<div class=""rule""><b>Futur I</b><br>Werden + Infinitiv описує майбутню дію.</div><div class=""example""><b>Приклад:</b><br>Wir <b>werden morgen entscheiden</b>.</div>",B1,M05 03 Futur,grammar tenses future B1
Практика 1: складіть речення за правилом «Futur I».,"<div class=""rule""><b>Модель</b><br>Werden + Infinitiv описує майбутню дію.</div><div class=""example""><b>Правильно:</b><br>Wir <b>werden morgen entscheiden</b>.</div>",B1,M05 03 Futur,grammar tenses future retrieval
Futur I для припущення?,"<div class=""rule""><b>Futur I для припущення</b><br>Futur I може виражати припущення про теперішнє.</div><div class=""example""><b>Приклад:</b><br>Er <b>wird jetzt zu Hause sein</b>.</div>",B1–B2,M05 03 Futur,grammar tenses future B1 B2
Практика 2: складіть речення за правилом «Futur I для припущення».,"<div class=""rule""><b>Модель</b><br>Futur I може виражати припущення про теперішнє.</div><div class=""example""><b>Правильно:</b><br>Er <b>wird jetzt zu Hause sein</b>.</div>",B1–B2,M05 03 Futur,grammar tenses future retrieval
Futur I vs Präsens?,"<div class=""rule""><b>Futur I vs Präsens</b><br>За чіткої часової вказівки Präsens часто природніше.</div><div class=""example""><b>Приклад:</b><br>Morgen <b>komme</b> ich. / Ich <b>werde bald kommen</b>.</div>",B1,M05 03 Futur,grammar tenses future B1
Практика 3: складіть речення за правилом «Futur I vs Präsens».,"<div class=""rule""><b>Модель</b><br>За чіткої часової вказівки Präsens часто природніше.</div><div class=""example""><b>Правильно:</b><br>Morgen <b>komme</b> ich. / Ich <b>werde bald kommen</b>.</div>",B1,M05 03 Futur,grammar tenses future retrieval
Futur II: форма?,"<div class=""rule""><b>Futur II: форма</b><br>Werden + Partizip II + haben/sein.</div><div class=""example""><b>Приклад:</b><br>Bis Freitag <b>werde ich den Bericht geschrieben haben</b>.</div>",B2,M05 03 Futur,grammar tenses future B2
Практика 4: складіть речення за правилом «Futur II: форма».,"<div class=""rule""><b>Модель</b><br>Werden + Partizip II + haben/sein.</div><div class=""example""><b>Правильно:</b><br>Bis Freitag <b>werde ich den Bericht geschrieben haben</b>.</div>",B2,M05 03 Futur,grammar tenses future retrieval
Futur II: завершеність?,"<div class=""rule""><b>Futur II: завершеність</b><br>Показує, що дія завершиться до майбутнього моменту.</div><div class=""example""><b>Приклад:</b><br>In einer Stunde <b>wird der Zug angekommen sein</b>.</div>",B2,M05 03 Futur,grammar tenses future B2
Практика 5: складіть речення за правилом «Futur II: завершеність».,"<div class=""rule""><b>Модель</b><br>Показує, що дія завершиться до майбутнього моменту.</div><div class=""example""><b>Правильно:</b><br>In einer Stunde <b>wird der Zug angekommen sein</b>.</div>",B2,M05 03 Futur,grammar tenses future retrieval
Futur II: припущення про минуле?,"<div class=""rule""><b>Futur II: припущення про минуле</b><br>Виражає ймовірне пояснення минулої події.</div><div class=""example""><b>Приклад:</b><br>Sie <b>wird den Bus verpasst haben</b>.</div>",B2,M05 03 Futur,grammar tenses future B2
Практика 6: складіть речення за правилом «Futur II: припущення про минуле».,"<div class=""rule""><b>Модель</b><br>Виражає ймовірне пояснення минулої події.</div><div class=""example""><b>Правильно:</b><br>Sie <b>wird den Bus verpasst haben</b>.</div>",B2,M05 03 Futur,grammar tenses future retrieval
