Front,Back,Level,Topic,Tags
können?,"<div class=""rule""><b>können</b><br>Уміння або реальна можливість.</div><div class=""example""><b>Приклад:</b><br>Ich <b>kann gut schwimmen</b>.</div>",A1,M06 01 Modalverben,grammar modal verbs A1
Практика 1: складіть речення за правилом «können».,"<div class=""rule""><b>Модель</b><br>Уміння або реальна можливість.</div><div class=""example""><b>Правильно:</b><br>Ich <b>kann gut schwimmen</b>.</div>",A1,M06 01 Modalverben,grammar modal verbs retrieval
müssen?,"<div class=""rule""><b>müssen</b><br>Необхідність або сильний обов'язок.</div><div class=""example""><b>Приклад:</b><br>Ich <b>muss heute arbeiten</b>.</div>",A1,M06 01 Modalverben,grammar modal verbs A1
Практика 2: складіть речення за правилом «müssen».,"<div class=""rule""><b>Модель</b><br>Необхідність або сильний обов'язок.</div><div class=""example""><b>Правильно:</b><br>Ich <b>muss heute arbeiten</b>.</div>",A1,M06 01 Modalverben,grammar modal verbs retrieval
dürfen?,"<div class=""rule""><b>dürfen</b><br>Дозвіл або заборона з nicht.</div><div class=""example""><b>Приклад:</b><br>Hier <b>darf man parken</b>.</div>",A1–A2,M06 01 Modalverben,grammar modal verbs A1 A2
Практика 3: складіть речення за правилом «dürfen».,"<div class=""rule""><b>Модель</b><br>Дозвіл або заборона з nicht.</div><div class=""example""><b>Правильно:</b><br>Hier <b>darf man parken</b>.</div>",A1–A2,M06 01 Modalverben,grammar modal verbs retrieval
sollen?,"<div class=""rule""><b>sollen</b><br>Чужа вказівка, очікування або порада.</div><div class=""example""><b>Приклад:</b><br>Der Arzt sagt, ich <b>soll mich ausruhen</b>.</div>",A2,M06 01 Modalverben,grammar modal verbs A2
Практика 4: складіть речення за правилом «sollen».,"<div class=""rule""><b>Модель</b><br>Чужа вказівка, очікування або порада.</div><div class=""example""><b>Правильно:</b><br>Der Arzt sagt, ich <b>soll mich ausruhen</b>.</div>",A2,M06 01 Modalverben,grammar modal verbs retrieval
wollen?,"<div class=""rule""><b>wollen</b><br>Твердий намір або бажання.</div><div class=""example""><b>Приклад:</b><br>Wir <b>wollen umziehen</b>.</div>",A1,M06 01 Modalverben,grammar modal verbs A1
Практика 5: складіть речення за правилом «wollen».,"<div class=""rule""><b>Модель</b><br>Твердий намір або бажання.</div><div class=""example""><b>Правильно:</b><br>Wir <b>wollen umziehen</b>.</div>",A1,M06 01 Modalverben,grammar modal verbs retrieval
mögen?,"<div class=""rule""><b>mögen</b><br>Симпатія до особи чи речі.</div><div class=""example""><b>Приклад:</b><br>Ich <b>mag schwarzen Kaffee</b>.</div>",A1,M06 01 Modalverben,grammar modal verbs A1
Практика 6: складіть речення за правилом «mögen».,"<div class=""rule""><b>Модель</b><br>Симпатія до особи чи речі.</div><div class=""example""><b>Правильно:</b><br>Ich <b>mag schwarzen Kaffee</b>.</div>",A1,M06 01 Modalverben,grammar modal verbs retrieval
möchten?,"<div class=""rule""><b>möchten</b><br>Ввічливе бажання; форма Konjunktiv II від mögen.</div><div class=""example""><b>Приклад:</b><br>Ich <b>möchte einen Tee</b>.</div>",A1,M06 01 Modalverben,grammar modal verbs A1
Практика 7: складіть речення за правилом «möchten».,"<div class=""rule""><b>Модель</b><br>Ввічливе бажання; форма Konjunktiv II від mögen.</div><div class=""example""><b>Правильно:</b><br>Ich <b>möchte einen Tee</b>.</div>",A1,M06 01 Modalverben,grammar modal verbs retrieval
Порядок із Modalverb?,"<div class=""rule""><b>Порядок із Modalverb</b><br>Модальне дієслово на позиції 2, смисловий інфінітив у кінці.</div><div class=""example""><b>Приклад:</b><br>Sie <b>muss morgen früh aufstehen</b>.</div>",A1–A2,M06 01 Modalverben,grammar modal verbs A1 A2
Практика 8: складіть речення за правилом «Порядок із Modalverb».,"<div class=""rule""><b>Модель</b><br>Модальне дієслово на позиції 2, смисловий інфінітив у кінці.</div><div class=""example""><b>Правильно:</b><br>Sie <b>muss morgen früh aufstehen</b>.</div>",A1–A2,M06 01 Modalverben,grammar modal verbs retrieval
Модальне дієслово в Nebensatz?,"<div class=""rule""><b>Модальне дієслово в Nebensatz</b><br>Інфінітив стоїть перед відмінюваним модальним у кінці.</div><div class=""example""><b>Приклад:</b><br>..., weil ich heute länger arbeiten <b>muss</b>.</div>",B1,M06 01 Modalverben,grammar modal verbs B1
Практика 9: складіть речення за правилом «Модальне дієслово в Nebensatz».,"<div class=""rule""><b>Модель</b><br>Інфінітив стоїть перед відмінюваним модальним у кінці.</div><div class=""example""><b>Правильно:</b><br>..., weil ich heute länger arbeiten <b>muss</b>.</div>",B1,M06 01 Modalverben,grammar modal verbs retrieval
müssen vs sollen?,"<div class=""rule""><b>müssen vs sollen</b><br>Müssen — об'єктивна необхідність; sollen — чужа вказівка.</div><div class=""example""><b>Приклад:</b><br>Ich <b>muss</b> zahlen. / Der Chef sagt, ich <b>soll</b> warten.</div>",A2,M06 01 Modalverben,grammar modal verbs A2
Практика 10: складіть речення за правилом «müssen vs sollen».,"<div class=""rule""><b>Модель</b><br>Müssen — об'єктивна необхідність; sollen — чужа вказівка.</div><div class=""example""><b>Правильно:</b><br>Ich <b>muss</b> zahlen. / Der Chef sagt, ich <b>soll</b> warten.</div>",A2,M06 01 Modalverben,grammar modal verbs retrieval
dürfen vs können?,"<div class=""rule""><b>dürfen vs können</b><br>Dürfen — дозвіл; können — здатність або можливість.</div><div class=""example""><b>Приклад:</b><br>Du <b>darfst</b> gehen. / Du <b>kannst</b> gehen.</div>",A2,M06 01 Modalverben,grammar modal verbs A2
Практика 11: складіть речення за правилом «dürfen vs können».,"<div class=""rule""><b>Модель</b><br>Dürfen — дозвіл; können — здатність або можливість.</div><div class=""example""><b>Правильно:</b><br>Du <b>darfst</b> gehen. / Du <b>kannst</b> gehen.</div>",A2,M06 01 Modalverben,grammar modal verbs retrieval
wollen vs möchten?,"<div class=""rule""><b>wollen vs möchten</b><br>Wollen звучить рішуче; möchten — ввічливо.</div><div class=""example""><b>Приклад:</b><br>Ich <b>will</b> sprechen. / Ich <b>möchte</b> sprechen.</div>",A1–A2,M06 01 Modalverben,grammar modal verbs A1 A2
Практика 12: складіть речення за правилом «wollen vs möchten».,"<div class=""rule""><b>Модель</b><br>Wollen звучить рішуче; möchten — ввічливо.</div><div class=""example""><b>Правильно:</b><br>Ich <b>will</b> sprechen. / Ich <b>möchte</b> sprechen.</div>",A1–A2,M06 01 Modalverben,grammar modal verbs retrieval
mögen vs möchten?,"<div class=""rule""><b>mögen vs möchten</b><br>Mögen — подобатися; möchten — хотіти.</div><div class=""example""><b>Приклад:</b><br>Ich <b>mag</b> Tee. Ich <b>möchte</b> Tee.</div>",A1,M06 01 Modalverben,grammar modal verbs A1
Практика 13: складіть речення за правилом «mögen vs möchten».,"<div class=""rule""><b>Модель</b><br>Mögen — подобатися; möchten — хотіти.</div><div class=""example""><b>Правильно:</b><br>Ich <b>mag</b> Tee. Ich <b>möchte</b> Tee.</div>",A1,M06 01 Modalverben,grammar modal verbs retrieval
Modalverben у Präteritum?,"<div class=""rule""><b>Modalverben у Präteritum</b><br>У мовленні типові konnte, musste, durfte, sollte, wollte.</div><div class=""example""><b>Приклад:</b><br>Wir <b>konnten nicht kommen</b>.</div>",A2–B1,M06 01 Modalverben,grammar modal verbs A2 B1
Практика 14: складіть речення за правилом «Modalverben у Präteritum».,"<div class=""rule""><b>Модель</b><br>У мовленні типові konnte, musste, durfte, sollte, wollte.</div><div class=""example""><b>Правильно:</b><br>Wir <b>konnten nicht kommen</b>.</div>",A2–B1,M06 01 Modalverben,grammar modal verbs retrieval
muss як припущення?,"<div class=""rule""><b>muss як припущення</b><br>Muss + Infinitiv виражає дуже високу ймовірність.</div><div class=""example""><b>Приклад:</b><br>Er <b>muss krank sein</b>.</div>",B2,M06 01 Modalverben,grammar modal verbs B2
Практика 15: складіть речення за правилом «muss як припущення».,"<div class=""rule""><b>Модель</b><br>Muss + Infinitiv виражає дуже високу ймовірність.</div><div class=""example""><b>Правильно:</b><br>Er <b>muss krank sein</b>.</div>",B2,M06 01 Modalverben,grammar modal verbs retrieval
müsste як обережний висновок?,"<div class=""rule""><b>müsste як обережний висновок</b><br>Müsste виражає логічне, але менш категоричне припущення.</div><div class=""example""><b>Приклад:</b><br>Der Brief <b>müsste morgen ankommen</b>.</div>",B2,M06 01 Modalverben,grammar modal verbs B2
Практика 16: складіть речення за правилом «müsste як обережний висновок».,"<div class=""rule""><b>Модель</b><br>Müsste виражає логічне, але менш категоричне припущення.</div><div class=""example""><b>Правильно:</b><br>Der Brief <b>müsste morgen ankommen</b>.</div>",B2,M06 01 Modalverben,grammar modal verbs retrieval
könnte як припущення?,"<div class=""rule""><b>könnte як припущення</b><br>Könnte означає реальну можливість.</div><div class=""example""><b>Приклад:</b><br>Sie <b>könnte im Büro sein</b>.</div>",B1–B2,M06 01 Modalverben,grammar modal verbs B1 B2
Практика 17: складіть речення за правилом «könnte як припущення».,"<div class=""rule""><b>Модель</b><br>Könnte означає реальну можливість.</div><div class=""example""><b>Правильно:</b><br>Sie <b>könnte im Büro sein</b>.</div>",B1–B2,M06 01 Modalverben,grammar modal verbs retrieval
dürfte як припущення?,"<div class=""rule""><b>dürfte як припущення</b><br>Dürfte означає досить імовірне припущення.</div><div class=""example""><b>Приклад:</b><br>Das <b>dürfte stimmen</b>.</div>",B2,M06 01 Modalverben,grammar modal verbs B2
Практика 18: складіть речення за правилом «dürfte як припущення».,"<div class=""rule""><b>Модель</b><br>Dürfte означає досить імовірне припущення.</div><div class=""example""><b>Правильно:</b><br>Das <b>dürfte stimmen</b>.</div>",B2,M06 01 Modalverben,grammar modal verbs retrieval
Не треба: nicht müssen?,"<div class=""rule""><b>Не треба: nicht müssen</b><br>Nicht müssen означає відсутність необхідності, а не заборону.</div><div class=""example""><b>Приклад:</b><br>Du <b>musst heute nicht kommen</b>.</div>",A2,M06 01 Modalverben,grammar modal verbs A2
Практика 19: складіть речення за правилом «Не треба: nicht müssen».,"<div class=""rule""><b>Модель</b><br>Nicht müssen означає відсутність необхідності, а не заборону.</div><div class=""example""><b>Правильно:</b><br>Du <b>musst heute nicht kommen</b>.</div>",A2,M06 01 Modalverben,grammar modal verbs retrieval
Заборона: nicht dürfen?,"<div class=""rule""><b>Заборона: nicht dürfen</b><br>Nicht dürfen означає, що дію заборонено.</div><div class=""example""><b>Приклад:</b><br>Du <b>darfst hier nicht rauchen</b>.</div>",A2,M06 01 Modalverben,grammar modal verbs A2
Практика 20: складіть речення за правилом «Заборона: nicht dürfen».,"<div class=""rule""><b>Модель</b><br>Nicht dürfen означає, що дію заборонено.</div><div class=""example""><b>Правильно:</b><br>Du <b>darfst hier nicht rauchen</b>.</div>",A2,M06 01 Modalverben,grammar modal verbs retrieval
