Front,Back,Level,Topic,Tags
Які основні прийменники завжди вимагають Akkusativ?,"<div class=""rule""><b>Akkusativ</b><br><b>durch, für, gegen, ohne, um</b></div><div class=""example""><b>Приклад:</b><br>Wir gehen <b>durch den Park</b>.</div>",A2,06 Präpositionen + Akkusativ,grammar prepositions akkusativ A2
Який відмінок після <b>durch</b>?,"<div class=""rule""><b>Akkusativ</b><br>через / крізь</div><div class=""example""><b>Приклад:</b><br>Wir gehen <b>durch den Park</b>.</div>",A2,06 Präpositionen + Akkusativ,grammar prepositions akkusativ A2
Який відмінок після <b>für</b>?,"<div class=""rule""><b>Akkusativ</b><br>для</div><div class=""example""><b>Приклад:</b><br>Das Geschenk ist <b>für meinen Bruder</b>.</div>",A2,06 Präpositionen + Akkusativ,grammar prepositions akkusativ A2
Який відмінок після <b>gegen</b>?,"<div class=""rule""><b>Akkusativ</b><br>проти / близько (час)</div><div class=""example""><b>Приклад:</b><br>Ich bin <b>gegen den Plan</b>.</div>",A2,06 Präpositionen + Akkusativ,grammar prepositions akkusativ A2
Який відмінок після <b>ohne</b>?,"<div class=""rule""><b>Akkusativ</b><br>без</div><div class=""example""><b>Приклад:</b><br>Ich gehe <b>ohne meinen Regenschirm</b>.</div>",A2,06 Präpositionen + Akkusativ,grammar prepositions akkusativ A2
Який відмінок після <b>um</b>?,"<div class=""rule""><b>Akkusativ</b><br>навколо / о (час)</div><div class=""example""><b>Приклад:</b><br>Wir sitzen <b>um den Tisch</b>.</div>",A2,06 Präpositionen + Akkusativ,grammar prepositions akkusativ A2
Das Geschenk ist für ___ Bruder. (mein),"<div class=""rule""><b>Відповідь</b><br><b>meinen Bruder</b></div><div class=""example""><b>Приклад:</b><br>für → Akkusativ.</div>",A2,06 Präpositionen + Akkusativ,grammar prepositions akkusativ exercise
Wir gehen durch ___ Park. (der),"<div class=""rule""><b>Відповідь</b><br><b>den Park</b></div><div class=""example""><b>Приклад:</b><br>durch → Akkusativ.</div>",A2,06 Präpositionen + Akkusativ,grammar prepositions akkusativ exercise
Ich fahre ohne ___ Auto. (mein),"<div class=""rule""><b>Відповідь</b><br><b>mein Auto</b></div><div class=""example""><b>Приклад:</b><br>Auto = das; Akkusativ не змінює середній рід.</div>",A2,06 Präpositionen + Akkusativ,grammar prepositions akkusativ exercise
Er ist gegen ___ Vorschlag. (der),"<div class=""rule""><b>Відповідь</b><br><b>den Vorschlag</b></div><div class=""example""><b>Приклад:</b><br>gegen → Akkusativ.</div>",A2,06 Präpositionen + Akkusativ,grammar prepositions akkusativ exercise
Wir laufen um ___ See. (der),"<div class=""rule""><b>Відповідь</b><br><b>den See</b></div><div class=""example""><b>Приклад:</b><br>um → Akkusativ.</div>",A2,06 Präpositionen + Akkusativ,grammar prepositions akkusativ exercise
