Front,Back,Level,Topic,Tags
Які основні прийменники завжди вимагають Dativ?,"<div class=""rule""><b>Dativ</b><br><b>aus, bei, mit, nach, seit, von, zu</b></div><div class=""example""><b>Приклад:</b><br>Ich fahre <b>mit dem Bus</b>.</div>",A2,07 Präpositionen + Dativ,grammar prepositions dativ A2
Який відмінок після <b>aus</b>?,"<div class=""rule""><b>Dativ</b><br>з / із</div><div class=""example""><b>Приклад:</b><br>Ich komme <b>aus der Ukraine</b>.</div>",A2,07 Präpositionen + Dativ,grammar prepositions dativ A2
Який відмінок після <b>bei</b>?,"<div class=""rule""><b>Dativ</b><br>у / при / в когось</div><div class=""example""><b>Приклад:</b><br>Ich bin <b>bei meinem Freund</b>.</div>",A2,07 Präpositionen + Dativ,grammar prepositions dativ A2
Який відмінок після <b>mit</b>?,"<div class=""rule""><b>Dativ</b><br>з / за допомогою</div><div class=""example""><b>Приклад:</b><br>Ich fahre <b>mit dem Bus</b>.</div>",A2,07 Präpositionen + Dativ,grammar prepositions dativ A2
Який відмінок після <b>nach</b>?,"<div class=""rule""><b>Dativ</b><br>до / після</div><div class=""example""><b>Приклад:</b><br>Wir fahren <b>nach Berlin</b>.</div>",A2,07 Präpositionen + Dativ,grammar prepositions dativ A2
Який відмінок після <b>seit</b>?,"<div class=""rule""><b>Dativ</b><br>від / протягом від певного моменту</div><div class=""example""><b>Приклад:</b><br>Ich wohne <b>seit einem Jahr</b> hier.</div>",A2,07 Präpositionen + Dativ,grammar prepositions dativ A2
Який відмінок після <b>von</b>?,"<div class=""rule""><b>Dativ</b><br>від / з</div><div class=""example""><b>Приклад:</b><br>Das ist ein Geschenk <b>von meiner Mutter</b>.</div>",A2,07 Präpositionen + Dativ,grammar prepositions dativ A2
Який відмінок після <b>zu</b>?,"<div class=""rule""><b>Dativ</b><br>до</div><div class=""example""><b>Приклад:</b><br>Ich gehe <b>zum Arzt</b>.</div>",A2,07 Präpositionen + Dativ,grammar prepositions dativ A2
Ich fahre mit ___ Bus. (der),"<div class=""rule""><b>Відповідь</b><br><b>dem Bus</b></div><div class=""example""><b>Приклад:</b><br>mit → Dativ.</div>",A2,07 Präpositionen + Dativ,grammar prepositions dativ exercise
Ich komme aus ___ Stadt. (die),"<div class=""rule""><b>Відповідь</b><br><b>der Stadt</b></div><div class=""example""><b>Приклад:</b><br>aus → Dativ.</div>",A2,07 Präpositionen + Dativ,grammar prepositions dativ exercise
"Er wohnt bei ___ Eltern. (die, Pl.)","<div class=""rule""><b>Відповідь</b><br><b>den Eltern</b></div><div class=""example""><b>Приклад:</b><br>bei → Dativ; Plural → den.</div>",A2,07 Präpositionen + Dativ,grammar prepositions dativ exercise
Seit ___ Monat lerne ich Deutsch. (ein),"<div class=""rule""><b>Відповідь</b><br><b>einem Monat</b></div><div class=""example""><b>Приклад:</b><br>seit → Dativ.</div>",A2,07 Präpositionen + Dativ,grammar prepositions dativ exercise
Das Geschenk ist von ___ Schwester. (mein),"<div class=""rule""><b>Відповідь</b><br><b>meiner Schwester</b></div><div class=""example""><b>Приклад:</b><br>von → Dativ.</div>",A2,07 Präpositionen + Dativ,grammar prepositions dativ exercise
Ich gehe zu ___ Arzt. (der),"<div class=""rule""><b>Відповідь</b><br><b>dem Arzt / zum Arzt</b></div><div class=""example""><b>Приклад:</b><br>zu → Dativ; zu dem = zum.</div>",A2,07 Präpositionen + Dativ,grammar prepositions dativ exercise
