Front,Back,Level,Topic,Tags
ich — mich — mir?,"<div class=""rule""><b>ich — mich — mir</b><br>Особовий займенник: Nominativ, Akkusativ, Dativ.</div><div class=""example""><b>Приклад:</b><br><b>Ich</b> sehe ihn; er sieht <b>mich</b>; er hilft <b>mir</b>.</div>",A1–A2,M08 01 Personal & Possessive Pronouns,grammar pronouns possessive A1 A2
Практика 1: складіть речення за правилом «ich — mich — mir».,"<div class=""rule""><b>Модель</b><br>Особовий займенник: Nominativ, Akkusativ, Dativ.</div><div class=""example""><b>Правильно:</b><br><b>Ich</b> sehe ihn; er sieht <b>mich</b>; er hilft <b>mir</b>.</div>",A1–A2,M08 01 Personal & Possessive Pronouns,grammar pronouns possessive retrieval
du — dich — dir?,"<div class=""rule""><b>du — dich — dir</b><br>Форми другої особи однини.</div><div class=""example""><b>Приклад:</b><br>Ich sehe <b>dich</b> und helfe <b>dir</b>.</div>",A1–A2,M08 01 Personal & Possessive Pronouns,grammar pronouns possessive A1 A2
Практика 2: складіть речення за правилом «du — dich — dir».,"<div class=""rule""><b>Модель</b><br>Форми другої особи однини.</div><div class=""example""><b>Правильно:</b><br>Ich sehe <b>dich</b> und helfe <b>dir</b>.</div>",A1–A2,M08 01 Personal & Possessive Pronouns,grammar pronouns possessive retrieval
er — ihn — ihm?,"<div class=""rule""><b>er — ihn — ihm</b><br>Masculine: Akkusativ ihn, Dativ ihm.</div><div class=""example""><b>Приклад:</b><br>Kennst du <b>ihn</b>? Ich schreibe <b>ihm</b>.</div>",A1–A2,M08 01 Personal & Possessive Pronouns,grammar pronouns possessive A1 A2
Практика 3: складіть речення за правилом «er — ihn — ihm».,"<div class=""rule""><b>Модель</b><br>Masculine: Akkusativ ihn, Dativ ihm.</div><div class=""example""><b>Правильно:</b><br>Kennst du <b>ihn</b>? Ich schreibe <b>ihm</b>.</div>",A1–A2,M08 01 Personal & Possessive Pronouns,grammar pronouns possessive retrieval
sie — sie — ihr?,"<div class=""rule""><b>sie — sie — ihr</b><br>Feminine: Akkusativ sie, Dativ ihr.</div><div class=""example""><b>Приклад:</b><br>Ich sehe <b>sie</b> und antworte <b>ihr</b>.</div>",A1–A2,M08 01 Personal & Possessive Pronouns,grammar pronouns possessive A1 A2
Практика 4: складіть речення за правилом «sie — sie — ihr».,"<div class=""rule""><b>Модель</b><br>Feminine: Akkusativ sie, Dativ ihr.</div><div class=""example""><b>Правильно:</b><br>Ich sehe <b>sie</b> und antworte <b>ihr</b>.</div>",A1–A2,M08 01 Personal & Possessive Pronouns,grammar pronouns possessive retrieval
es — es — ihm?,"<div class=""rule""><b>es — es — ihm</b><br>Neuter: Akkusativ es, Dativ ihm.</div><div class=""example""><b>Приклад:</b><br>Ich kaufe <b>es</b> und gebe <b>ihm</b> einen Namen.</div>",A1–A2,M08 01 Personal & Possessive Pronouns,grammar pronouns possessive A1 A2
Практика 5: складіть речення за правилом «es — es — ihm».,"<div class=""rule""><b>Модель</b><br>Neuter: Akkusativ es, Dativ ihm.</div><div class=""example""><b>Правильно:</b><br>Ich kaufe <b>es</b> und gebe <b>ihm</b> einen Namen.</div>",A1–A2,M08 01 Personal & Possessive Pronouns,grammar pronouns possessive retrieval
wir — uns — uns?,"<div class=""rule""><b>wir — uns — uns</b><br>Akkusativ і Dativ мають форму uns.</div><div class=""example""><b>Приклад:</b><br>Sie besucht <b>uns</b> und hilft <b>uns</b>.</div>",A1–A2,M08 01 Personal & Possessive Pronouns,grammar pronouns possessive A1 A2
Практика 6: складіть речення за правилом «wir — uns — uns».,"<div class=""rule""><b>Модель</b><br>Akkusativ і Dativ мають форму uns.</div><div class=""example""><b>Правильно:</b><br>Sie besucht <b>uns</b> und hilft <b>uns</b>.</div>",A1–A2,M08 01 Personal & Possessive Pronouns,grammar pronouns possessive retrieval
ihr — euch — euch?,"<div class=""rule""><b>ihr — euch — euch</b><br>Akkusativ і Dativ мають форму euch.</div><div class=""example""><b>Приклад:</b><br>Ich sehe <b>euch</b> und schreibe <b>euch</b>.</div>",A1–A2,M08 01 Personal & Possessive Pronouns,grammar pronouns possessive A1 A2
Практика 7: складіть речення за правилом «ihr — euch — euch».,"<div class=""rule""><b>Модель</b><br>Akkusativ і Dativ мають форму euch.</div><div class=""example""><b>Правильно:</b><br>Ich sehe <b>euch</b> und schreibe <b>euch</b>.</div>",A1–A2,M08 01 Personal & Possessive Pronouns,grammar pronouns possessive retrieval
sie — sie — ihnen?,"<div class=""rule""><b>sie — sie — ihnen</b><br>Plural: Dativ ihnen із -n.</div><div class=""example""><b>Приклад:</b><br>Ich kenne <b>sie</b> und vertraue <b>ihnen</b>.</div>",A2,M08 01 Personal & Possessive Pronouns,grammar pronouns possessive A2
Практика 8: складіть речення за правилом «sie — sie — ihnen».,"<div class=""rule""><b>Модель</b><br>Plural: Dativ ihnen із -n.</div><div class=""example""><b>Правильно:</b><br>Ich kenne <b>sie</b> und vertraue <b>ihnen</b>.</div>",A2,M08 01 Personal & Possessive Pronouns,grammar pronouns possessive retrieval
Sie — Sie — Ihnen?,"<div class=""rule""><b>Sie — Sie — Ihnen</b><br>Ввічливі форми завжди пишуться з великої літери.</div><div class=""example""><b>Приклад:</b><br>Kann ich <b>Ihnen</b> helfen?</div>",A1,M08 01 Personal & Possessive Pronouns,grammar pronouns possessive A1
Практика 9: складіть речення за правилом «Sie — Sie — Ihnen».,"<div class=""rule""><b>Модель</b><br>Ввічливі форми завжди пишуться з великої літери.</div><div class=""example""><b>Правильно:</b><br>Kann ich <b>Ihnen</b> helfen?</div>",A1,M08 01 Personal & Possessive Pronouns,grammar pronouns possessive retrieval
Possessiv: mein/dein?,"<div class=""rule""><b>Possessiv: mein/dein</b><br>Основа залежить від власника, закінчення — від іменника.</div><div class=""example""><b>Приклад:</b><br>Das ist <b>mein</b> Buch; ich sehe <b>deinen</b> Bruder.</div>",A1–A2,M08 01 Personal & Possessive Pronouns,grammar pronouns possessive A1 A2
Практика 10: складіть речення за правилом «Possessiv: mein/dein».,"<div class=""rule""><b>Модель</b><br>Основа залежить від власника, закінчення — від іменника.</div><div class=""example""><b>Правильно:</b><br>Das ist <b>mein</b> Buch; ich sehe <b>deinen</b> Bruder.</div>",A1–A2,M08 01 Personal & Possessive Pronouns,grammar pronouns possessive retrieval
Possessiv: sein/ihr?,"<div class=""rule""><b>Possessiv: sein/ihr</b><br>Sein — його; ihr — її або їхній за контекстом.</div><div class=""example""><b>Приклад:</b><br>Paul sucht <b>seine</b> Tasche; Anna sucht <b>ihre</b>.</div>",A1–A2,M08 01 Personal & Possessive Pronouns,grammar pronouns possessive A1 A2
Практика 11: складіть речення за правилом «Possessiv: sein/ihr».,"<div class=""rule""><b>Модель</b><br>Sein — його; ihr — її або їхній за контекстом.</div><div class=""example""><b>Правильно:</b><br>Paul sucht <b>seine</b> Tasche; Anna sucht <b>ihre</b>.</div>",A1–A2,M08 01 Personal & Possessive Pronouns,grammar pronouns possessive retrieval
