Front,Back,Level,Topic,Tags
Reflexivpronomen Akkusativ?,"<div class=""rule""><b>Reflexivpronomen Akkusativ</b><br>Форми: mich, dich, sich, uns, euch, sich.</div><div class=""example""><b>Приклад:</b><br>Ich <b>beeile mich</b>.</div>",A2,M08 02 Reflexive Pronouns,grammar pronouns reflexive A2
Практика 1: складіть речення за правилом «Reflexivpronomen Akkusativ».,"<div class=""rule""><b>Модель</b><br>Форми: mich, dich, sich, uns, euch, sich.</div><div class=""example""><b>Правильно:</b><br>Ich <b>beeile mich</b>.</div>",A2,M08 02 Reflexive Pronouns,grammar pronouns reflexive retrieval
Reflexivpronomen Dativ?,"<div class=""rule""><b>Reflexivpronomen Dativ</b><br>Mir/dir уживаються, коли є інший Akkusativ-об'єкт.</div><div class=""example""><b>Приклад:</b><br>Ich <b>wasche mir die Hände</b>.</div>",A2,M08 02 Reflexive Pronouns,grammar pronouns reflexive A2
Практика 2: складіть речення за правилом «Reflexivpronomen Dativ».,"<div class=""rule""><b>Модель</b><br>Mir/dir уживаються, коли є інший Akkusativ-об'єкт.</div><div class=""example""><b>Правильно:</b><br>Ich <b>wasche mir die Hände</b>.</div>",A2,M08 02 Reflexive Pronouns,grammar pronouns reflexive retrieval
sich erinnern an?,"<div class=""rule""><b>sich erinnern an</b><br>Керує Akkusativ.</div><div class=""example""><b>Приклад:</b><br>Ich <b>erinnere mich an den Urlaub</b>.</div>",A2–B1,M08 02 Reflexive Pronouns,grammar pronouns reflexive A2 B1
Практика 3: складіть речення за правилом «sich erinnern an».,"<div class=""rule""><b>Модель</b><br>Керує Akkusativ.</div><div class=""example""><b>Правильно:</b><br>Ich <b>erinnere mich an den Urlaub</b>.</div>",A2–B1,M08 02 Reflexive Pronouns,grammar pronouns reflexive retrieval
sich interessieren für?,"<div class=""rule""><b>sich interessieren für</b><br>Керує Akkusativ.</div><div class=""example""><b>Приклад:</b><br>Sie <b>interessiert sich für Politik</b>.</div>",A2,M08 02 Reflexive Pronouns,grammar pronouns reflexive A2
Практика 4: складіть речення за правилом «sich interessieren für».,"<div class=""rule""><b>Модель</b><br>Керує Akkusativ.</div><div class=""example""><b>Правильно:</b><br>Sie <b>interessiert sich für Politik</b>.</div>",A2,M08 02 Reflexive Pronouns,grammar pronouns reflexive retrieval
sich freuen auf?,"<div class=""rule""><b>sich freuen auf</b><br>Радіти майбутній події; auf + Akkusativ.</div><div class=""example""><b>Приклад:</b><br>Wir <b>freuen uns auf das Wochenende</b>.</div>",A2,M08 02 Reflexive Pronouns,grammar pronouns reflexive A2
Практика 5: складіть речення за правилом «sich freuen auf».,"<div class=""rule""><b>Модель</b><br>Радіти майбутній події; auf + Akkusativ.</div><div class=""example""><b>Правильно:</b><br>Wir <b>freuen uns auf das Wochenende</b>.</div>",A2,M08 02 Reflexive Pronouns,grammar pronouns reflexive retrieval
sich freuen über?,"<div class=""rule""><b>sich freuen über</b><br>Радіти наявній або минулій події; über + Akkusativ.</div><div class=""example""><b>Приклад:</b><br>Er <b>freut sich über das Geschenk</b>.</div>",A2,M08 02 Reflexive Pronouns,grammar pronouns reflexive A2
Практика 6: складіть речення за правилом «sich freuen über».,"<div class=""rule""><b>Модель</b><br>Радіти наявній або минулій події; über + Akkusativ.</div><div class=""example""><b>Правильно:</b><br>Er <b>freut sich über das Geschenk</b>.</div>",A2,M08 02 Reflexive Pronouns,grammar pronouns reflexive retrieval
sich kümmern um?,"<div class=""rule""><b>sich kümmern um</b><br>Керує Akkusativ.</div><div class=""example""><b>Приклад:</b><br>Sie <b>kümmert sich um die Kinder</b>.</div>",B1,M08 02 Reflexive Pronouns,grammar pronouns reflexive B1
