Front,Back,Level,Topic,Tags
"Які прийменники можуть мати і Akkusativ, і Dativ?","<div class=""rule""><b>Wechselpräpositionen</b><br><b>an, auf, hinter, in, neben, über, unter, vor, zwischen</b></div><div class=""example""><b>Приклад:</b><br>Ich bin <b>in der Küche</b>. / Ich gehe <b>in die Küche</b>.</div>",A2–B1,09 Wechselpräpositionen,grammar prepositions wechsel A2 B1
Коли Wechselpräposition має Akkusativ?,"<div class=""rule""><b>Akkusativ = напрямок / зміна місця</b><br>Питання <b>Wohin?</b> — куди?</div><div class=""example""><b>Приклад:</b><br>Ich gehe <b>in die Küche</b>.</div>",A2–B1,09 Wechselpräpositionen,grammar prepositions wechsel akkusativ
Коли Wechselpräposition має Dativ?,"<div class=""rule""><b>Dativ = місце / положення</b><br>Питання <b>Wo?</b> — де?</div><div class=""example""><b>Приклад:</b><br>Ich bin <b>in der Küche</b>.</div>",A2–B1,09 Wechselpräpositionen,grammar prepositions wechsel dativ
<b>an</b>: Dativ чи Akkusativ?,"<div class=""rule""><b>Залежить від значення</b><br>біля / на вертикальній поверхні<br><b>Wo?</b> → Dativ<br><b>Wohin?</b> → Akkusativ</div><div class=""example""><b>Приклад:</b><br>Das Bild hängt <b>an der Wand</b>.<br>Ich hänge das Bild <b>an die Wand</b>.</div>",A2–B1,09 Wechselpräpositionen,grammar prepositions wechsel
<b>auf</b>: Dativ чи Akkusativ?,"<div class=""rule""><b>Залежить від значення</b><br>на<br><b>Wo?</b> → Dativ<br><b>Wohin?</b> → Akkusativ</div><div class=""example""><b>Приклад:</b><br>Das Buch liegt <b>auf dem Tisch</b>.<br>Ich lege das Buch <b>auf den Tisch</b>.</div>",A2–B1,09 Wechselpräpositionen,grammar prepositions wechsel
<b>hinter</b>: Dativ чи Akkusativ?,"<div class=""rule""><b>Залежить від значення</b><br>за<br><b>Wo?</b> → Dativ<br><b>Wohin?</b> → Akkusativ</div><div class=""example""><b>Приклад:</b><br>Das Auto steht <b>hinter dem Haus</b>.<br>Ich fahre <b>hinter das Haus</b>.</div>",A2–B1,09 Wechselpräpositionen,grammar prepositions wechsel
<b>in</b>: Dativ чи Akkusativ?,"<div class=""rule""><b>Залежить від значення</b><br>в / у<br><b>Wo?</b> → Dativ<br><b>Wohin?</b> → Akkusativ</div><div class=""example""><b>Приклад:</b><br>Ich bin <b>in der Küche</b>.<br>Ich gehe <b>in die Küche</b>.</div>",A2–B1,09 Wechselpräpositionen,grammar prepositions wechsel
<b>neben</b>: Dativ чи Akkusativ?,"<div class=""rule""><b>Залежить від значення</b><br>поруч<br><b>Wo?</b> → Dativ<br><b>Wohin?</b> → Akkusativ</div><div class=""example""><b>Приклад:</b><br>Der Stuhl steht <b>neben dem Tisch</b>.<br>Ich stelle den Stuhl <b>neben den Tisch</b>.</div>",A2–B1,09 Wechselpräpositionen,grammar prepositions wechsel
<b>über</b>: Dativ чи Akkusativ?,"<div class=""rule""><b>Залежить від значення</b><br>над<br><b>Wo?</b> → Dativ<br><b>Wohin?</b> → Akkusativ</div><div class=""example""><b>Приклад:</b><br>Die Lampe hängt <b>über dem Tisch</b>.<br>Ich hänge die Lampe <b>über den Tisch</b>.</div>",A2–B1,09 Wechselpräpositionen,grammar prepositions wechsel
<b>unter</b>: Dativ чи Akkusativ?,"<div class=""rule""><b>Залежить від значення</b><br>під<br><b>Wo?</b> → Dativ<br><b>Wohin?</b> → Akkusativ</div><div class=""example""><b>Приклад:</b><br>Die Katze liegt <b>unter dem Tisch</b>.<br>Die Katze läuft <b>unter den Tisch</b>.</div>",A2–B1,09 Wechselpräpositionen,grammar prepositions wechsel
<b>vor</b>: Dativ чи Akkusativ?,"<div class=""rule""><b>Залежить від значення</b><br>перед<br><b>Wo?</b> → Dativ<br><b>Wohin?</b> → Akkusativ</div><div class=""example""><b>Приклад:</b><br>Ich stehe <b>vor dem Haus</b>.<br>Ich gehe <b>vor das Haus</b>.</div>",A2–B1,09 Wechselpräpositionen,grammar prepositions wechsel
<b>zwischen</b>: Dativ чи Akkusativ?,"<div class=""rule""><b>Залежить від значення</b><br>між<br><b>Wo?</b> → Dativ<br><b>Wohin?</b> → Akkusativ</div><div class=""example""><b>Приклад:</b><br>Der Stuhl steht <b>zwischen den Tischen</b>.<br>Ich stelle den Stuhl <b>zwischen die Tische</b>.</div>",A2–B1,09 Wechselpräpositionen,grammar prepositions wechsel
Ich bin in ___ Küche. (die),"<div class=""rule""><b>Відповідь</b><br><b>der Küche</b></div><div class=""example""><b>Приклад:</b><br>Wo? → Dativ.</div>",A2–B1,09 Wechselpräpositionen,grammar prepositions wechsel exercise
Ich gehe in ___ Küche. (die),"<div class=""rule""><b>Відповідь</b><br><b>die Küche</b></div><div class=""example""><b>Приклад:</b><br>Wohin? → Akkusativ.</div>",A2–B1,09 Wechselpräpositionen,grammar prepositions wechsel exercise
Das Buch liegt auf ___ Tisch. (der),"<div class=""rule""><b>Відповідь</b><br><b>dem Tisch</b></div><div class=""example""><b>Приклад:</b><br>Wo? → Dativ.</div>",A2–B1,09 Wechselpräpositionen,grammar prepositions wechsel exercise
Ich lege das Buch auf ___ Tisch. (der),"<div class=""rule""><b>Відповідь</b><br><b>den Tisch</b></div><div class=""example""><b>Приклад:</b><br>Wohin? → Akkusativ.</div>",A2–B1,09 Wechselpräpositionen,grammar prepositions wechsel exercise
Das Bild hängt an ___ Wand. (die),"<div class=""rule""><b>Відповідь</b><br><b>der Wand</b></div><div class=""example""><b>Приклад:</b><br>Wo? → Dativ.</div>",A2–B1,09 Wechselpräpositionen,grammar prepositions wechsel exercise
Ich hänge das Bild an ___ Wand. (die),"<div class=""rule""><b>Відповідь</b><br><b>die Wand</b></div><div class=""example""><b>Приклад:</b><br>Wohin? → Akkusativ.</div>",A2–B1,09 Wechselpräpositionen,grammar prepositions wechsel exercise
Der Hund liegt unter ___ Tisch. (der),"<div class=""rule""><b>Відповідь</b><br><b>dem Tisch</b></div><div class=""example""><b>Приклад:</b><br>Wo? → Dativ.</div>",A2–B1,09 Wechselpräpositionen,grammar prepositions wechsel exercise
Der Hund läuft unter ___ Tisch. (der),"<div class=""rule""><b>Відповідь</b><br><b>den Tisch</b></div><div class=""example""><b>Приклад:</b><br>Wohin? → Akkusativ.</div>",A2–B1,09 Wechselpräpositionen,grammar prepositions wechsel exercise
