Front,Back,Level,Topic,Tags
Vorgangspassiv?,"<div class=""rule""><b>Vorgangspassiv</b><br>Werden + Partizip II описує процес або дію.</div><div class=""example""><b>Приклад:</b><br>Die Tür <b>wird geöffnet</b>.</div>",B1,M10 01 Passive,grammar passive B1
Практика 1: складіть речення за правилом «Vorgangspassiv».,"<div class=""rule""><b>Модель</b><br>Werden + Partizip II описує процес або дію.</div><div class=""example""><b>Правильно:</b><br>Die Tür <b>wird geöffnet</b>.</div>",B1,M10 01 Passive,grammar passive retrieval
Passiv Präsens?,"<div class=""rule""><b>Passiv Präsens</b><br>Відмінюване wird/werden + Partizip II.</div><div class=""example""><b>Приклад:</b><br>Die Pakete <b>werden heute geliefert</b>.</div>",B1,M10 01 Passive,grammar passive B1
Практика 2: складіть речення за правилом «Passiv Präsens».,"<div class=""rule""><b>Модель</b><br>Відмінюване wird/werden + Partizip II.</div><div class=""example""><b>Правильно:</b><br>Die Pakete <b>werden heute geliefert</b>.</div>",B1,M10 01 Passive,grammar passive retrieval
Passiv Präteritum?,"<div class=""rule""><b>Passiv Präteritum</b><br>Wurde/wurden + Partizip II.</div><div class=""example""><b>Приклад:</b><br>Die Straße <b>wurde gesperrt</b>.</div>",B1,M10 01 Passive,grammar passive B1
Практика 3: складіть речення за правилом «Passiv Präteritum».,"<div class=""rule""><b>Модель</b><br>Wurde/wurden + Partizip II.</div><div class=""example""><b>Правильно:</b><br>Die Straße <b>wurde gesperrt</b>.</div>",B1,M10 01 Passive,grammar passive retrieval
Passiv Perfekt?,"<div class=""rule""><b>Passiv Perfekt</b><br>Ist/sind + Partizip II + worden.</div><div class=""example""><b>Приклад:</b><br>Der Vertrag <b>ist unterschrieben worden</b>.</div>",B1–B2,M10 01 Passive,grammar passive B1 B2
Практика 4: складіть речення за правилом «Passiv Perfekt».,"<div class=""rule""><b>Модель</b><br>Ist/sind + Partizip II + worden.</div><div class=""example""><b>Правильно:</b><br>Der Vertrag <b>ist unterschrieben worden</b>.</div>",B1–B2,M10 01 Passive,grammar passive retrieval
worden vs geworden?,"<div class=""rule""><b>worden vs geworden</b><br>У Passiv Perfekt — worden; geworden означає «став».</div><div class=""example""><b>Приклад:</b><br>Die Tür ist geöffnet <b>worden</b>. Er ist Arzt <b>geworden</b>.</div>",B1–B2,M10 01 Passive,grammar passive B1 B2
Практика 5: складіть речення за правилом «worden vs geworden».,"<div class=""rule""><b>Модель</b><br>У Passiv Perfekt — worden; geworden означає «став».</div><div class=""example""><b>Правильно:</b><br>Die Tür ist geöffnet <b>worden</b>. Er ist Arzt <b>geworden</b>.</div>",B1–B2,M10 01 Passive,grammar passive retrieval
Passiv Plusquamperfekt?,"<div class=""rule""><b>Passiv Plusquamperfekt</b><br>War/waren + Partizip II + worden.</div><div class=""example""><b>Приклад:</b><br>Die Ware <b>war schon bezahlt worden</b>.</div>",B2,M10 01 Passive,grammar passive B2
Практика 6: складіть речення за правилом «Passiv Plusquamperfekt».,"<div class=""rule""><b>Модель</b><br>War/waren + Partizip II + worden.</div><div class=""example""><b>Правильно:</b><br>Die Ware <b>war schon bezahlt worden</b>.</div>",B2,M10 01 Passive,grammar passive retrieval
Passiv Futur I?,"<div class=""rule""><b>Passiv Futur I</b><br>Werden + Partizip II + werden; рідко, але нормативно.</div><div class=""example""><b>Приклад:</b><br>Der Plan <b>wird morgen vorgestellt werden</b>.</div>",B2,M10 01 Passive,grammar passive B2
Практика 7: складіть речення за правилом «Passiv Futur I».,"<div class=""rule""><b>Модель</b><br>Werden + Partizip II + werden; рідко, але нормативно.</div><div class=""example""><b>Правильно:</b><br>Der Plan <b>wird morgen vorgestellt werden</b>.</div>",B2,M10 01 Passive,grammar passive retrieval
Passiv із müssen?,"<div class=""rule""><b>Passiv із müssen</b><br>Modalverb + Partizip II + werden.</div><div class=""example""><b>Приклад:</b><br>Der Antrag <b>muss heute geprüft werden</b>.</div>",B1,M10 01 Passive,grammar passive B1
Практика 8: складіть речення за правилом «Passiv із müssen».,"<div class=""rule""><b>Модель</b><br>Modalverb + Partizip II + werden.</div><div class=""example""><b>Правильно:</b><br>Der Antrag <b>muss heute geprüft werden</b>.</div>",B1,M10 01 Passive,grammar passive retrieval
Passiv із können?,"<div class=""rule""><b>Passiv із können</b><br>Описує можливість.</div><div class=""example""><b>Приклад:</b><br>Das Fenster <b>kann geöffnet werden</b>.</div>",B1,M10 01 Passive,grammar passive B1
Практика 9: складіть речення за правилом «Passiv із können».,"<div class=""rule""><b>Модель</b><br>Описує можливість.</div><div class=""example""><b>Правильно:</b><br>Das Fenster <b>kann geöffnet werden</b>.</div>",B1,M10 01 Passive,grammar passive retrieval
Passiv із sollen?,"<div class=""rule""><b>Passiv із sollen</b><br>Описує рекомендацію або вимогу.</div><div class=""example""><b>Приклад:</b><br>Der Text <b>sollte gekürzt werden</b>.</div>",B1–B2,M10 01 Passive,grammar passive B1 B2
Практика 10: складіть речення за правилом «Passiv із sollen».,"<div class=""rule""><b>Модель</b><br>Описує рекомендацію або вимогу.</div><div class=""example""><b>Правильно:</b><br>Der Text <b>sollte gekürzt werden</b>.</div>",B1–B2,M10 01 Passive,grammar passive retrieval
von + Dativ?,"<div class=""rule""><b>von + Dativ</b><br>Позначає діяча, особу або установу.</div><div class=""example""><b>Приклад:</b><br>Der Roman wurde <b>von einer jungen Autorin</b> geschrieben.</div>",B1,M10 01 Passive,grammar passive B1
Практика 11: складіть речення за правилом «von + Dativ».,"<div class=""rule""><b>Модель</b><br>Позначає діяча, особу або установу.</div><div class=""example""><b>Правильно:</b><br>Der Roman wurde <b>von einer jungen Autorin</b> geschrieben.</div>",B1,M10 01 Passive,grammar passive retrieval
durch + Akkusativ?,"<div class=""rule""><b>durch + Akkusativ</b><br>Позначає засіб, причину або посередника.</div><div class=""example""><b>Приклад:</b><br>Die Straße wurde <b>durch einen Sturm</b> blockiert.</div>",B1,M10 01 Passive,grammar passive B1
Практика 12: складіть речення за правилом «durch + Akkusativ».,"<div class=""rule""><b>Модель</b><br>Позначає засіб, причину або посередника.</div><div class=""example""><b>Правильно:</b><br>Die Straße wurde <b>durch einen Sturm</b> blockiert.</div>",B1,M10 01 Passive,grammar passive retrieval
Zustandspassiv?,"<div class=""rule""><b>Zustandspassiv</b><br>Sein + Partizip II описує результативний стан.</div><div class=""example""><b>Приклад:</b><br>Die Tür <b>ist geöffnet</b>.</div>",B1,M10 01 Passive,grammar passive B1
Практика 13: складіть речення за правилом «Zustandspassiv».,"<div class=""rule""><b>Модель</b><br>Sein + Partizip II описує результативний стан.</div><div class=""example""><b>Правильно:</b><br>Die Tür <b>ist geöffnet</b>.</div>",B1,M10 01 Passive,grammar passive retrieval
Процес vs стан?,"<div class=""rule""><b>Процес vs стан</b><br>Wird geöffnet — процес; ist geöffnet — готовий стан.</div><div class=""example""><b>Приклад:</b><br>Um acht <b>wird</b> die Tür geöffnet; jetzt <b>ist</b> sie geöffnet.</div>",B1,M10 01 Passive,grammar passive B1
Практика 14: складіть речення за правилом «Процес vs стан».,"<div class=""rule""><b>Модель</b><br>Wird geöffnet — процес; ist geöffnet — готовий стан.</div><div class=""example""><b>Правильно:</b><br>Um acht <b>wird</b> die Tür geöffnet; jetzt <b>ist</b> sie geöffnet.</div>",B1,M10 01 Passive,grammar passive retrieval
Passiv без Akkusativ-об'єкта?,"<div class=""rule""><b>Passiv без Akkusativ-об&#x27;єкта</b><br>Можливе безособове es або без підмета.</div><div class=""example""><b>Приклад:</b><br>Es <b>wird getanzt</b>. Heute <b>wird gearbeitet</b>.</div>",B1–B2,M10 01 Passive,grammar passive B1 B2
Практика 15: складіть речення за правилом «Passiv без Akkusativ-об'єкта».,"<div class=""rule""><b>Модель</b><br>Можливе безособове es або без підмета.</div><div class=""example""><b>Правильно:</b><br>Es <b>wird getanzt</b>. Heute <b>wird gearbeitet</b>.</div>",B1–B2,M10 01 Passive,grammar passive retrieval
