Front,Back,Level,Topic,Tags
würde + Infinitiv?,"<div class=""rule""><b>würde + Infinitiv</b><br>Універсальна розмовна форма для нереальної або ввічливої дії.</div><div class=""example""><b>Приклад:</b><br>Ich <b>würde gern länger bleiben</b>.</div>",B1,M11 01 Konjunktiv II,grammar konjunktiv-ii B1
Практика 1: складіть речення за правилом «würde + Infinitiv».,"<div class=""rule""><b>Модель</b><br>Універсальна розмовна форма для нереальної або ввічливої дії.</div><div class=""example""><b>Правильно:</b><br>Ich <b>würde gern länger bleiben</b>.</div>",B1,M11 01 Konjunktiv II,grammar konjunktiv-ii retrieval
wäre?,"<div class=""rule""><b>wäre</b><br>Konjunktiv II від sein.</div><div class=""example""><b>Приклад:</b><br>Wenn ich frei <b>wäre</b>, würde ich reisen.</div>",B1,M11 01 Konjunktiv II,grammar konjunktiv-ii B1
Практика 2: складіть речення за правилом «wäre».,"<div class=""rule""><b>Модель</b><br>Konjunktiv II від sein.</div><div class=""example""><b>Правильно:</b><br>Wenn ich frei <b>wäre</b>, würde ich reisen.</div>",B1,M11 01 Konjunktiv II,grammar konjunktiv-ii retrieval
hätte?,"<div class=""rule""><b>hätte</b><br>Konjunktiv II від haben.</div><div class=""example""><b>Приклад:</b><br>Ich <b>hätte gern</b> einen Kaffee.</div>",A2–B1,M11 01 Konjunktiv II,grammar konjunktiv-ii A2 B1
Практика 3: складіть речення за правилом «hätte».,"<div class=""rule""><b>Модель</b><br>Konjunktiv II від haben.</div><div class=""example""><b>Правильно:</b><br>Ich <b>hätte gern</b> einen Kaffee.</div>",A2–B1,M11 01 Konjunktiv II,grammar konjunktiv-ii retrieval
könnte?,"<div class=""rule""><b>könnte</b><br>Ввічливе прохання або можливість.</div><div class=""example""><b>Приклад:</b><br><b>Könnten Sie</b> mir helfen?</div>",B1,M11 01 Konjunktiv II,grammar konjunktiv-ii B1
Практика 4: складіть речення за правилом «könnte».,"<div class=""rule""><b>Модель</b><br>Ввічливе прохання або можливість.</div><div class=""example""><b>Правильно:</b><br><b>Könnten Sie</b> mir helfen?</div>",B1,M11 01 Konjunktiv II,grammar konjunktiv-ii retrieval
müsste / sollte / dürfte?,"<div class=""rule""><b>müsste / sollte / dürfte</b><br>Müsste — необхідність, sollte — порада, dürfte — імовірність.</div><div class=""example""><b>Приклад:</b><br>Du <b>solltest</b> früher schlafen.</div>",B1–B2,M11 01 Konjunktiv II,grammar konjunktiv-ii B1 B2
Практика 5: складіть речення за правилом «müsste / sollte / dürfte».,"<div class=""rule""><b>Модель</b><br>Müsste — необхідність, sollte — порада, dürfte — імовірність.</div><div class=""example""><b>Правильно:</b><br>Du <b>solltest</b> früher schlafen.</div>",B1–B2,M11 01 Konjunktiv II,grammar konjunktiv-ii retrieval
Нереальна умова?,"<div class=""rule""><b>Нереальна умова</b><br>Wenn-частина має Konjunktiv II; головна часто würde + Infinitiv.</div><div class=""example""><b>Приклад:</b><br>Wenn ich Zeit <b>hätte</b>, <b>würde</b> ich kommen.</div>",B1,M11 01 Konjunktiv II,grammar konjunktiv-ii B1
Практика 6: складіть речення за правилом «Нереальна умова».,"<div class=""rule""><b>Модель</b><br>Wenn-частина має Konjunktiv II; головна часто würde + Infinitiv.</div><div class=""example""><b>Правильно:</b><br>Wenn ich Zeit <b>hätte</b>, <b>würde</b> ich kommen.</div>",B1,M11 01 Konjunktiv II,grammar konjunktiv-ii retrieval
Wenn ich du wäre?,"<div class=""rule""><b>Wenn ich du wäre</b><br>Стійка модель для поради.</div><div class=""example""><b>Приклад:</b><br><b>Wenn ich du wäre</b>, würde ich warten.</div>",B1,M11 01 Konjunktiv II,grammar konjunktiv-ii B1
Практика 7: складіть речення за правилом «Wenn ich du wäre».,"<div class=""rule""><b>Модель</b><br>Стійка модель для поради.</div><div class=""example""><b>Правильно:</b><br><b>Wenn ich du wäre</b>, würde ich warten.</div>",B1,M11 01 Konjunktiv II,grammar konjunktiv-ii retrieval
Бажання?,"<div class=""rule""><b>Бажання</b><br>Doch або nur підсилює нереальне бажання.</div><div class=""example""><b>Приклад:</b><br>Wenn ich doch mehr Zeit <b>hätte</b>!</div>",B1–B2,M11 01 Konjunktiv II,grammar konjunktiv-ii B1 B2
Практика 8: складіть речення за правилом «Бажання».,"<div class=""rule""><b>Модель</b><br>Doch або nur підсилює нереальне бажання.</div><div class=""example""><b>Правильно:</b><br>Wenn ich doch mehr Zeit <b>hätte</b>!</div>",B1–B2,M11 01 Konjunktiv II,grammar konjunktiv-ii retrieval
Минулий Konjunktiv II з haben?,"<div class=""rule""><b>Минулий Konjunktiv II з haben</b><br>Hätte + Partizip II.</div><div class=""example""><b>Приклад:</b><br>Ich <b>hätte früher angerufen</b>.</div>",B2,M11 01 Konjunktiv II,grammar konjunktiv-ii B2
Практика 9: складіть речення за правилом «Минулий Konjunktiv II з haben».,"<div class=""rule""><b>Модель</b><br>Hätte + Partizip II.</div><div class=""example""><b>Правильно:</b><br>Ich <b>hätte früher angerufen</b>.</div>",B2,M11 01 Konjunktiv II,grammar konjunktiv-ii retrieval
Минулий Konjunktiv II з sein?,"<div class=""rule""><b>Минулий Konjunktiv II з sein</b><br>Wäre + Partizip II.</div><div class=""example""><b>Приклад:</b><br>Wenn ich früher <b>gekommen wäre</b>, hätte ich ihn gesehen.</div>",B2,M11 01 Konjunktiv II,grammar konjunktiv-ii B2
Практика 10: складіть речення за правилом «Минулий Konjunktiv II з sein».,"<div class=""rule""><b>Модель</b><br>Wäre + Partizip II.</div><div class=""example""><b>Правильно:</b><br>Wenn ich früher <b>gekommen wäre</b>, hätte ich ihn gesehen.</div>",B2,M11 01 Konjunktiv II,grammar konjunktiv-ii retrieval
Нереальний наслідок у минулому?,"<div class=""rule""><b>Нереальний наслідок у минулому</b><br>Головна частина має hätte/wäre + Partizip II.</div><div class=""example""><b>Приклад:</b><br>Wir <b>wären pünktlich angekommen</b>, wenn der Zug nicht ausgefallen wäre.</div>",B2,M11 01 Konjunktiv II,grammar konjunktiv-ii B2
Практика 11: складіть речення за правилом «Нереальний наслідок у минулому».,"<div class=""rule""><b>Модель</b><br>Головна частина має hätte/wäre + Partizip II.</div><div class=""example""><b>Правильно:</b><br>Wir <b>wären pünktlich angekommen</b>, wenn der Zug nicht ausgefallen wäre.</div>",B2,M11 01 Konjunktiv II,grammar konjunktiv-ii retrieval
als ob?,"<div class=""rule""><b>als ob</b><br>Після als ob часто Konjunktiv II, дієслово в кінці.</div><div class=""example""><b>Приклад:</b><br>Er tut so, <b>als ob er alles wüsste</b>.</div>",B2,M11 01 Konjunktiv II,grammar konjunktiv-ii B2
Практика 12: складіть речення за правилом «als ob».,"<div class=""rule""><b>Модель</b><br>Після als ob часто Konjunktiv II, дієслово в кінці.</div><div class=""example""><b>Правильно:</b><br>Er tut so, <b>als ob er alles wüsste</b>.</div>",B2,M11 01 Konjunktiv II,grammar konjunktiv-ii retrieval
