Front,Back,Level,Topic,Tags
Коли вживається часовий прийменник <b>um</b>?,"<div class=""rule""><b>Час</b><br>точний час</div><div class=""example""><b>Приклад:</b><br>Der Kurs beginnt <b>um 9 Uhr</b>.</div>",A2–B1,11 Часові прийменники,grammar prepositions temporal
Коли вживається часовий прийменник <b>am</b>?,"<div class=""rule""><b>Час</b><br>дні / частини дня</div><div class=""example""><b>Приклад:</b><br>Wir treffen uns <b>am Montag</b>.</div>",A2–B1,11 Часові прийменники,grammar prepositions temporal
Коли вживається часовий прийменник <b>im</b>?,"<div class=""rule""><b>Час</b><br>місяці / пори року / роки як період</div><div class=""example""><b>Приклад:</b><br>Ich fahre <b>im August</b> in Urlaub.</div>",A2–B1,11 Часові прийменники,grammar prepositions temporal
Коли вживається часовий прийменник <b>seit</b>?,"<div class=""rule""><b>Час</b><br>від моменту в минулому до тепер</div><div class=""example""><b>Приклад:</b><br>Ich lerne <b>seit zwei Jahren</b> Deutsch.</div>",A2–B1,11 Часові прийменники,grammar prepositions temporal
Коли вживається часовий прийменник <b>vor</b>?,"<div class=""rule""><b>Час</b><br>тому назад</div><div class=""example""><b>Приклад:</b><br>Ich war <b>vor zwei Tagen</b> dort.</div>",A2–B1,11 Часові прийменники,grammar prepositions temporal
Коли вживається часовий прийменник <b>nach</b>?,"<div class=""rule""><b>Час</b><br>після</div><div class=""example""><b>Приклад:</b><br><b>Nach der Arbeit</b> gehe ich nach Hause.</div>",A2–B1,11 Часові прийменники,grammar prepositions temporal
Коли вживається часовий прийменник <b>ab</b>?,"<div class=""rule""><b>Час</b><br>починаючи з</div><div class=""example""><b>Приклад:</b><br><b>Ab Montag</b> arbeite ich wieder.</div>",A2–B1,11 Часові прийменники,grammar prepositions temporal
Коли вживається часовий прийменник <b>bis</b>?,"<div class=""rule""><b>Час</b><br>до</div><div class=""example""><b>Приклад:</b><br>Ich arbeite <b>bis 18 Uhr</b>.</div>",A2–B1,11 Часові прийменники,grammar prepositions temporal
Коли вживається часовий прийменник <b>von ... bis</b>?,"<div class=""rule""><b>Час</b><br>від ... до ...</div><div class=""example""><b>Приклад:</b><br>Ich arbeite <b>von 9 bis 17 Uhr</b>.</div>",A2–B1,11 Часові прийменники,grammar prepositions temporal
Коли вживається часовий прийменник <b>während</b>?,"<div class=""rule""><b>Час</b><br>під час</div><div class=""example""><b>Приклад:</b><br><b>Während des Urlaubs</b> lese ich viel.</div>",A2–B1,11 Часові прийменники,grammar prepositions temporal
