Front,Back,Level,Topic,Tags
Indirekte Rede?,"<div class=""rule""><b>Indirekte Rede</b><br>Передає чужі слова без прямої цитати.</div><div class=""example""><b>Приклад:</b><br>Er sagt, er <b>sei krank</b>.</div>",B2,M12 01 Indirect Speech,grammar indirect speech B2
Практика 1: складіть речення за правилом «Indirekte Rede».,"<div class=""rule""><b>Модель</b><br>Передає чужі слова без прямої цитати.</div><div class=""example""><b>Правильно:</b><br>Er sagt, er <b>sei krank</b>.</div>",B2,M12 01 Indirect Speech,grammar indirect speech retrieval
Konjunktiv I від sein?,"<div class=""rule""><b>Konjunktiv I від sein</b><br>Форми: sei, seiest, sei, seien, seiet, seien.</div><div class=""example""><b>Приклад:</b><br>Sie sagt, sie <b>sei</b> müde.</div>",B2,M12 01 Indirect Speech,grammar indirect speech B2
Практика 2: складіть речення за правилом «Konjunktiv I від sein».,"<div class=""rule""><b>Модель</b><br>Форми: sei, seiest, sei, seien, seiet, seien.</div><div class=""example""><b>Правильно:</b><br>Sie sagt, sie <b>sei</b> müde.</div>",B2,M12 01 Indirect Speech,grammar indirect speech retrieval
Konjunktiv I від haben?,"<div class=""rule""><b>Konjunktiv I від haben</b><br>Ключові форми: habe, habest, habe, haben, habet, haben.</div><div class=""example""><b>Приклад:</b><br>Er sagt, er <b>habe</b> keine Zeit.</div>",B2,M12 01 Indirect Speech,grammar indirect speech B2
Практика 3: складіть речення за правилом «Konjunktiv I від haben».,"<div class=""rule""><b>Модель</b><br>Ключові форми: habe, habest, habe, haben, habet, haben.</div><div class=""example""><b>Правильно:</b><br>Er sagt, er <b>habe</b> keine Zeit.</div>",B2,M12 01 Indirect Speech,grammar indirect speech retrieval
Konjunktiv I від werden?,"<div class=""rule""><b>Konjunktiv I від werden</b><br>Ключова форма третьої особи: werde.</div><div class=""example""><b>Приклад:</b><br>Sie erklärt, sie <b>werde später kommen</b>.</div>",B2,M12 01 Indirect Speech,grammar indirect speech B2
Практика 4: складіть речення за правилом «Konjunktiv I від werden».,"<div class=""rule""><b>Модель</b><br>Ключова форма третьої особи: werde.</div><div class=""example""><b>Правильно:</b><br>Sie erklärt, sie <b>werde später kommen</b>.</div>",B2,M12 01 Indirect Speech,grammar indirect speech retrieval
Регулярна третя особа?,"<div class=""rule""><b>Регулярна третя особа</b><br>Основа інфінітива + -e.</div><div class=""example""><b>Приклад:</b><br>Er sagt, er <b>komme</b> morgen.</div>",B2,M12 01 Indirect Speech,grammar indirect speech B2
Практика 5: складіть речення за правилом «Регулярна третя особа».,"<div class=""rule""><b>Модель</b><br>Основа інфінітива + -e.</div><div class=""example""><b>Правильно:</b><br>Er sagt, er <b>komme</b> morgen.</div>",B2,M12 01 Indirect Speech,grammar indirect speech retrieval
Reported statement?,"<div class=""rule""><b>Reported statement</b><br>Dass можливе, але в формальній непрямій мові часто опускається.</div><div class=""example""><b>Приклад:</b><br>Die Sprecherin erklärt, die Lage <b>sei stabil</b>.</div>",B2,M12 01 Indirect Speech,grammar indirect speech B2
Практика 6: складіть речення за правилом «Reported statement».,"<div class=""rule""><b>Модель</b><br>Dass можливе, але в формальній непрямій мові часто опускається.</div><div class=""example""><b>Правильно:</b><br>Die Sprecherin erklärt, die Lage <b>sei stabil</b>.</div>",B2,M12 01 Indirect Speech,grammar indirect speech retrieval
