Front,Back,Level,Topic,Tags
N-Deklination?,"<div class=""rule""><b>N-Deklination</b><br>Більшість слабких masculine мають -(e)n в усіх відмінках, крім Nominativ singular.</div><div class=""example""><b>Приклад:</b><br>der Student — mit dem <b>Studenten</b></div>",B1,M13 01 Noun Grammar,grammar noun grammar B1
Практика 1: складіть речення за правилом «N-Deklination».,"<div class=""rule""><b>Модель</b><br>Більшість слабких masculine мають -(e)n в усіх відмінках, крім Nominativ singular.</div><div class=""example""><b>Правильно:</b><br>der Student — mit dem <b>Studenten</b></div>",B1,M13 01 Noun Grammar,grammar noun grammar retrieval
Student / Mensch / Kunde?,"<div class=""rule""><b>Student / Mensch / Kunde</b><br>Типові слабкі іменники додають -en.</div><div class=""example""><b>Приклад:</b><br>Ich helfe dem <b>Studenten</b> und dem <b>Kunden</b>.</div>",B1,M13 01 Noun Grammar,grammar noun grammar B1
Практика 2: складіть речення за правилом «Student / Mensch / Kunde».,"<div class=""rule""><b>Модель</b><br>Типові слабкі іменники додають -en.</div><div class=""example""><b>Правильно:</b><br>Ich helfe dem <b>Studenten</b> und dem <b>Kunden</b>.</div>",B1,M13 01 Noun Grammar,grammar noun grammar retrieval
Kollege / Junge / Experte?,"<div class=""rule""><b>Kollege / Junge / Experte</b><br>Іменники на -e часто належать до N-Deklination.</div><div class=""example""><b>Приклад:</b><br>Ich spreche mit dem <b>Kollegen</b>.</div>",B1,M13 01 Noun Grammar,grammar noun grammar B1
Практика 3: складіть речення за правилом «Kollege / Junge / Experte».,"<div class=""rule""><b>Модель</b><br>Іменники на -e часто належать до N-Deklination.</div><div class=""example""><b>Правильно:</b><br>Ich spreche mit dem <b>Kollegen</b>.</div>",B1,M13 01 Noun Grammar,grammar noun grammar retrieval
Herr?,"<div class=""rule""><b>Herr</b><br>У singular поза Nominativ має Herrn.</div><div class=""example""><b>Приклад:</b><br>Ich schreibe <b>Herrn Müller</b>.</div>",B1,M13 01 Noun Grammar,grammar noun grammar B1
Практика 4: складіть речення за правилом «Herr».,"<div class=""rule""><b>Модель</b><br>У singular поза Nominativ має Herrn.</div><div class=""example""><b>Правильно:</b><br>Ich schreibe <b>Herrn Müller</b>.</div>",B1,M13 01 Noun Grammar,grammar noun grammar retrieval
Name?,"<div class=""rule""><b>Name</b><br>Має -n у Akkusativ/Dativ і -ns у Genitiv.</div><div class=""example""><b>Приклад:</b><br>Ich kenne seinen <b>Namen</b>; die Bedeutung seines <b>Namens</b>.</div>",B1,M13 01 Noun Grammar,grammar noun grammar B1
Практика 5: складіть речення за правилом «Name».,"<div class=""rule""><b>Модель</b><br>Має -n у Akkusativ/Dativ і -ns у Genitiv.</div><div class=""example""><b>Правильно:</b><br>Ich kenne seinen <b>Namen</b>; die Bedeutung seines <b>Namens</b>.</div>",B1,M13 01 Noun Grammar,grammar noun grammar retrieval
Nachbar?,"<div class=""rule""><b>Nachbar</b><br>Можливі форми Nachbarn поза Nominativ.</div><div class=""example""><b>Приклад:</b><br>Ich helfe meinem <b>Nachbarn</b>.</div>",B1,M13 01 Noun Grammar,grammar noun grammar B1
Практика 6: складіть речення за правилом «Nachbar».,"<div class=""rule""><b>Модель</b><br>Можливі форми Nachbarn поза Nominativ.</div><div class=""example""><b>Правильно:</b><br>Ich helfe meinem <b>Nachbarn</b>.</div>",B1,M13 01 Noun Grammar,grammar noun grammar retrieval
Plural на -e?,"<div class=""rule""><b>Plural на -e</b><br>Часто з умлаутом у коротких masculine/neuter.</div><div class=""example""><b>Приклад:</b><br>der Tag — die <b>Tage</b>; der Stuhl — die <b>Stühle</b></div>",A2,M13 01 Noun Grammar,grammar noun grammar A2
Практика 7: складіть речення за правилом «Plural на -e».,"<div class=""rule""><b>Модель</b><br>Часто з умлаутом у коротких masculine/neuter.</div><div class=""example""><b>Правильно:</b><br>der Tag — die <b>Tage</b>; der Stuhl — die <b>Stühle</b></div>",A2,M13 01 Noun Grammar,grammar noun grammar retrieval
Plural на -(e)n?,"<div class=""rule""><b>Plural на -(e)n</b><br>Типовий для багатьох feminine.</div><div class=""example""><b>Приклад:</b><br>die Frau — die <b>Frauen</b></div>",A1–A2,M13 01 Noun Grammar,grammar noun grammar A1 A2
Практика 8: складіть речення за правилом «Plural на -(e)n».,"<div class=""rule""><b>Модель</b><br>Типовий для багатьох feminine.</div><div class=""example""><b>Правильно:</b><br>die Frau — die <b>Frauen</b></div>",A1–A2,M13 01 Noun Grammar,grammar noun grammar retrieval
Plural на -er?,"<div class=""rule""><b>Plural на -er</b><br>Часто neuter, іноді з умлаутом.</div><div class=""example""><b>Приклад:</b><br>das Kind — die <b>Kinder</b>; das Buch — die <b>Bücher</b></div>",A2,M13 01 Noun Grammar,grammar noun grammar A2
Практика 9: складіть речення за правилом «Plural на -er».,"<div class=""rule""><b>Модель</b><br>Часто neuter, іноді з умлаутом.</div><div class=""example""><b>Правильно:</b><br>das Kind — die <b>Kinder</b>; das Buch — die <b>Bücher</b></div>",A2,M13 01 Noun Grammar,grammar noun grammar retrieval
Plural на -s?,"<div class=""rule""><b>Plural на -s</b><br>Типовий для запозичень та скорочень.</div><div class=""example""><b>Приклад:</b><br>das Auto — die <b>Autos</b></div>",A1,M13 01 Noun Grammar,grammar noun grammar A1
Практика 10: складіть речення за правилом «Plural на -s».,"<div class=""rule""><b>Модель</b><br>Типовий для запозичень та скорочень.</div><div class=""example""><b>Правильно:</b><br>das Auto — die <b>Autos</b></div>",A1,M13 01 Noun Grammar,grammar noun grammar retrieval
Нульове закінчення plural?,"<div class=""rule""><b>Нульове закінчення plural</b><br>Часто в іменників на -er/-el/-en; можливий умлаут.</div><div class=""example""><b>Приклад:</b><br>der Lehrer — die <b>Lehrer</b>; der Vater — die <b>Väter</b></div>",A2,M13 01 Noun Grammar,grammar noun grammar A2
Практика 11: складіть речення за правилом «Нульове закінчення plural».,"<div class=""rule""><b>Модель</b><br>Часто в іменників на -er/-el/-en; можливий умлаут.</div><div class=""example""><b>Правильно:</b><br>der Lehrer — die <b>Lehrer</b>; der Vater — die <b>Väter</b></div>",A2,M13 01 Noun Grammar,grammar noun grammar retrieval
Субстантивований прикметник?,"<div class=""rule""><b>Субстантивований прикметник</b><br>Пишеться з великої літери й відмінюється як прикметник.</div><div class=""example""><b>Приклад:</b><br>der <b>Deutsche</b>, ein <b>Deutscher</b>, die <b>Deutschen</b></div>",B1,M13 01 Noun Grammar,grammar noun grammar B1
Практика 12: складіть речення за правилом «Субстантивований прикметник».,"<div class=""rule""><b>Модель</b><br>Пишеться з великої літери й відмінюється як прикметник.</div><div class=""example""><b>Правильно:</b><br>der <b>Deutsche</b>, ein <b>Deutscher</b>, die <b>Deutschen</b></div>",B1,M13 01 Noun Grammar,grammar noun grammar retrieval
