Front,Back,Level,Topic,Tags
Positiv?,"<div class=""rule""><b>Positiv</b><br>Базова форма прикметника.</div><div class=""example""><b>Приклад:</b><br>Der Weg ist <b>lang</b>.</div>",A1,M14 01 Comparison,grammar comparison A1
Практика 1: складіть речення за правилом «Positiv».,"<div class=""rule""><b>Модель</b><br>Базова форма прикметника.</div><div class=""example""><b>Правильно:</b><br>Der Weg ist <b>lang</b>.</div>",A1,M14 01 Comparison,grammar comparison retrieval
Komparativ?,"<div class=""rule""><b>Komparativ</b><br>Зазвичай додаємо -er.</div><div class=""example""><b>Приклад:</b><br>Der zweite Weg ist <b>länger</b>.</div>",A2,M14 01 Comparison,grammar comparison A2
Практика 2: складіть речення за правилом «Komparativ».,"<div class=""rule""><b>Модель</b><br>Зазвичай додаємо -er.</div><div class=""example""><b>Правильно:</b><br>Der zweite Weg ist <b>länger</b>.</div>",A2,M14 01 Comparison,grammar comparison retrieval
Superlativ прислівниковий?,"<div class=""rule""><b>Superlativ прислівниковий</b><br>am + прикметник + -(e)sten.</div><div class=""example""><b>Приклад:</b><br>Dieser Zug fährt <b>am schnellsten</b>.</div>",A2,M14 01 Comparison,grammar comparison A2
Практика 3: складіть речення за правилом «Superlativ прислівниковий».,"<div class=""rule""><b>Модель</b><br>am + прикметник + -(e)sten.</div><div class=""example""><b>Правильно:</b><br>Dieser Zug fährt <b>am schnellsten</b>.</div>",A2,M14 01 Comparison,grammar comparison retrieval
Superlativ атрибутивний?,"<div class=""rule""><b>Superlativ атрибутивний</b><br>Артикль + -(e)st- із прикметниковим закінченням.</div><div class=""example""><b>Приклад:</b><br>Das ist <b>der schnellste Zug</b>.</div>",A2,M14 01 Comparison,grammar comparison A2
Практика 4: складіть речення за правилом «Superlativ атрибутивний».,"<div class=""rule""><b>Модель</b><br>Артикль + -(e)st- із прикметниковим закінченням.</div><div class=""example""><b>Правильно:</b><br>Das ist <b>der schnellste Zug</b>.</div>",A2,M14 01 Comparison,grammar comparison retrieval
Умлаут у порівнянні?,"<div class=""rule""><b>Умлаут у порівнянні</b><br>Деякі односкладові прикметники отримують умлаут.</div><div class=""example""><b>Приклад:</b><br>alt — <b>älter</b>; kurz — <b>kürzer</b></div>",A2,M14 01 Comparison,grammar comparison A2
Практика 5: складіть речення за правилом «Умлаут у порівнянні».,"<div class=""rule""><b>Модель</b><br>Деякі односкладові прикметники отримують умлаут.</div><div class=""example""><b>Правильно:</b><br>alt — <b>älter</b>; kurz — <b>kürzer</b></div>",A2,M14 01 Comparison,grammar comparison retrieval
gut?,"<div class=""rule""><b>gut</b><br>Нерегулярно: gut — besser — am besten.</div><div class=""example""><b>Приклад:</b><br>Heute geht es mir <b>besser</b>.</div>",A1–A2,M14 01 Comparison,grammar comparison A1 A2
Практика 6: складіть речення за правилом «gut».,"<div class=""rule""><b>Модель</b><br>Нерегулярно: gut — besser — am besten.</div><div class=""example""><b>Правильно:</b><br>Heute geht es mir <b>besser</b>.</div>",A1–A2,M14 01 Comparison,grammar comparison retrieval
viel?,"<div class=""rule""><b>viel</b><br>Нерегулярно: viel — mehr — am meisten.</div><div class=""example""><b>Приклад:</b><br>Sie hat <b>mehr</b> Erfahrung.</div>",A2,M14 01 Comparison,grammar comparison A2
Практика 7: складіть речення за правилом «viel».,"<div class=""rule""><b>Модель</b><br>Нерегулярно: viel — mehr — am meisten.</div><div class=""example""><b>Правильно:</b><br>Sie hat <b>mehr</b> Erfahrung.</div>",A2,M14 01 Comparison,grammar comparison retrieval
gern?,"<div class=""rule""><b>gern</b><br>Нерегулярно: gern — lieber — am liebsten.</div><div class=""example""><b>Приклад:</b><br>Ich trinke <b>lieber</b> Tee.</div>",A2,M14 01 Comparison,grammar comparison A2
Практика 8: складіть речення за правилом «gern».,"<div class=""rule""><b>Модель</b><br>Нерегулярно: gern — lieber — am liebsten.</div><div class=""example""><b>Правильно:</b><br>Ich trinke <b>lieber</b> Tee.</div>",A2,M14 01 Comparison,grammar comparison retrieval
hoch / nah?,"<div class=""rule""><b>hoch / nah</b><br>Форми: höher; näher.</div><div class=""example""><b>Приклад:</b><br>Der Berg ist <b>höher</b>; die Station ist <b>näher</b>.</div>",A2,M14 01 Comparison,grammar comparison A2
Практика 9: складіть речення за правилом «hoch / nah».,"<div class=""rule""><b>Модель</b><br>Форми: höher; näher.</div><div class=""example""><b>Правильно:</b><br>Der Berg ist <b>höher</b>; die Station ist <b>näher</b>.</div>",A2,M14 01 Comparison,grammar comparison retrieval
als?,"<div class=""rule""><b>als</b><br>Після Komparativ для нерівного порівняння.</div><div class=""example""><b>Приклад:</b><br>Berlin ist größer <b>als</b> Bonn.</div>",A2,M14 01 Comparison,grammar comparison A2
Практика 10: складіть речення за правилом «als».,"<div class=""rule""><b>Модель</b><br>Після Komparativ для нерівного порівняння.</div><div class=""example""><b>Правильно:</b><br>Berlin ist größer <b>als</b> Bonn.</div>",A2,M14 01 Comparison,grammar comparison retrieval
