Front,Back,Level,Topic,Tags
"nicht заперечує дію, ознаку або означений об'єкт?","<div class=""rule""><b>nicht заперечує дію, ознаку або означений об&#x27;єкт</b><br>nicht заперечує дію, ознаку або означений об'єкт.</div><div class=""example""><b>Приклад:</b><br>Ich komme <b>heute nicht</b>.</div>",A1–A2,M15 01 Negation,grammar negation A1 A2
"Практика 1: складіть речення за правилом «nicht заперечує дію, ознаку або означений об'єкт».","<div class=""rule""><b>Модель</b><br>nicht заперечує дію, ознаку або означений об'єкт.</div><div class=""example""><b>Правильно:</b><br>Ich komme <b>heute nicht</b>.</div>",A1–A2,M15 01 Negation,grammar negation retrieval
kein заперечує іменник без означеного артикля?,"<div class=""rule""><b>kein заперечує іменник без означеного артикля</b><br>kein заперечує іменник без означеного артикля.</div><div class=""example""><b>Приклад:</b><br>Ich habe <b>kein Auto</b>.</div>",A1,M15 01 Negation,grammar negation A1
Практика 2: складіть речення за правилом «kein заперечує іменник без означеного артикля».,"<div class=""rule""><b>Модель</b><br>kein заперечує іменник без означеного артикля.</div><div class=""example""><b>Правильно:</b><br>Ich habe <b>kein Auto</b>.</div>",A1,M15 01 Negation,grammar negation retrieval
nicht vs kein?,"<div class=""rule""><b>nicht vs kein</b><br>nicht vs kein.</div><div class=""example""><b>Приклад:</b><br>Ich kaufe <b>das Auto nicht</b>. / Ich kaufe <b>kein Auto</b>.</div>",A2,M15 01 Negation,grammar negation A2
Практика 3: складіть речення за правилом «nicht vs kein».,"<div class=""rule""><b>Модель</b><br>nicht vs kein.</div><div class=""example""><b>Правильно:</b><br>Ich kaufe <b>das Auto nicht</b>. / Ich kaufe <b>kein Auto</b>.</div>",A2,M15 01 Negation,grammar negation retrieval
nicht перед заперечуваним елементом?,"<div class=""rule""><b>nicht перед заперечуваним елементом</b><br>nicht перед заперечуваним елементом.</div><div class=""example""><b>Приклад:</b><br>Ich fahre <b>nicht heute</b>, sondern morgen.</div>",A2,M15 01 Negation,grammar negation A2
Практика 4: складіть речення за правилом «nicht перед заперечуваним елементом».,"<div class=""rule""><b>Модель</b><br>nicht перед заперечуваним елементом.</div><div class=""example""><b>Правильно:</b><br>Ich fahre <b>nicht heute</b>, sondern morgen.</div>",A2,M15 01 Negation,grammar negation retrieval
niemand і nichts?,"<div class=""rule""><b>niemand і nichts</b><br>niemand і nichts.</div><div class=""example""><b>Приклад:</b><br><b>Niemand</b> hat <b>etwas</b> gesagt.</div>",A2,M15 01 Negation,grammar negation A2
Практика 5: складіть речення за правилом «niemand і nichts».,"<div class=""rule""><b>Модель</b><br>niemand і nichts.</div><div class=""example""><b>Правильно:</b><br><b>Niemand</b> hat <b>etwas</b> gesagt.</div>",A2,M15 01 Negation,grammar negation retrieval
nie / niemals?,"<div class=""rule""><b>nie / niemals</b><br>nie / niemals.</div><div class=""example""><b>Приклад:</b><br>Ich rauche <b>nie</b>.</div>",A2,M15 01 Negation,grammar negation A2
