Front,Back,Level,Topic,Tags
Ja/Nein-Frage: дієслово на позиції 1?,"<div class=""rule""><b>Ja/Nein-Frage: дієслово на позиції 1</b><br>Ja/Nein-Frage: дієслово на позиції 1.</div><div class=""example""><b>Приклад:</b><br><b>Kommst</b> du morgen?</div>",A1,M16 01 Questions,grammar questions A1
Практика 1: складіть речення за правилом «Ja/Nein-Frage: дієслово на позиції 1».,"<div class=""rule""><b>Модель</b><br>Ja/Nein-Frage: дієслово на позиції 1.</div><div class=""example""><b>Правильно:</b><br><b>Kommst</b> du morgen?</div>",A1,M16 01 Questions,grammar questions retrieval
"W-Frage: питальне слово, дієслово, підмет?","<div class=""rule""><b>W-Frage: питальне слово, дієслово, підмет</b><br>W-Frage: питальне слово, дієслово, підмет.</div><div class=""example""><b>Приклад:</b><br><b>Wann kommst du</b>?</div>",A1,M16 01 Questions,grammar questions A1
"Практика 2: складіть речення за правилом «W-Frage: питальне слово, дієслово, підмет».","<div class=""rule""><b>Модель</b><br>W-Frage: питальне слово, дієслово, підмет.</div><div class=""example""><b>Правильно:</b><br><b>Wann kommst du</b>?</div>",A1,M16 01 Questions,grammar questions retrieval
wer / wen / wem?,"<div class=""rule""><b>wer / wen / wem</b><br>wer / wen / wem.</div><div class=""example""><b>Приклад:</b><br><b>Wer</b> hilft <b>wem</b>?</div>",A1–A2,M16 01 Questions,grammar questions A1 A2
Практика 3: складіть речення за правилом «wer / wen / wem».,"<div class=""rule""><b>Модель</b><br>wer / wen / wem.</div><div class=""example""><b>Правильно:</b><br><b>Wer</b> hilft <b>wem</b>?</div>",A1–A2,M16 01 Questions,grammar questions retrieval
was / wann / warum / wie?,"<div class=""rule""><b>was / wann / warum / wie</b><br>was / wann / warum / wie.</div><div class=""example""><b>Приклад:</b><br><b>Warum lernst</b> du Deutsch?</div>",A1,M16 01 Questions,grammar questions A1
Практика 4: складіть речення за правилом «was / wann / warum / wie».,"<div class=""rule""><b>Модель</b><br>was / wann / warum / wie.</div><div class=""example""><b>Правильно:</b><br><b>Warum lernst</b> du Deutsch?</div>",A1,M16 01 Questions,grammar questions retrieval
wo / wohin / woher?,"<div class=""rule""><b>wo / wohin / woher</b><br>wo / wohin / woher.</div><div class=""example""><b>Приклад:</b><br><b>Woher kommst</b> du?</div>",A1,M16 01 Questions,grammar questions A1
Практика 5: складіть речення за правилом «wo / wohin / woher».,"<div class=""rule""><b>Модель</b><br>wo / wohin / woher.</div><div class=""example""><b>Правильно:</b><br><b>Woher kommst</b> du?</div>",A1,M16 01 Questions,grammar questions retrieval
welcher відмінюється як der?,"<div class=""rule""><b>welcher відмінюється як der</b><br>welcher відмінюється як der.</div><div class=""example""><b>Приклад:</b><br>Mit <b>welchem</b> Bus fährst du?</div>",A2,M16 01 Questions,grammar questions A2
Практика 6: складіть речення за правилом «welcher відмінюється як der».,"<div class=""rule""><b>Модель</b><br>welcher відмінюється як der.</div><div class=""example""><b>Правильно:</b><br>Mit <b>welchem</b> Bus fährst du?</div>",A2,M16 01 Questions,grammar questions retrieval
Непряме W-питання: дієслово в кінці?,"<div class=""rule""><b>Непряме W-питання: дієслово в кінці</b><br>Непряме W-питання: дієслово в кінці.</div><div class=""example""><b>Приклад:</b><br>Ich weiß nicht, <b>wann er kommt</b>.</div>",A2–B1,M16 01 Questions,grammar questions A2 B1
Практика 7: складіть речення за правилом «Непряме W-питання: дієслово в кінці».,"<div class=""rule""><b>Модель</b><br>Непряме W-питання: дієслово в кінці.</div><div class=""example""><b>Правильно:</b><br>Ich weiß nicht, <b>wann er kommt</b>.</div>",A2–B1,M16 01 Questions,grammar questions retrieval
Ввічливе непряме питання?,"<div class=""rule""><b>Ввічливе непряме питання</b><br>Ввічливе непряме питання.</div><div class=""example""><b>Приклад:</b><br>Können Sie mir sagen, <b>wo der Bahnhof ist</b>?</div>",A2–B1,M16 01 Questions,grammar questions A2 B1
Практика 8: складіть речення за правилом «Ввічливе непряме питання».,"<div class=""rule""><b>Модель</b><br>Ввічливе непряме питання.</div><div class=""example""><b>Правильно:</b><br>Können Sie mir sagen, <b>wo der Bahnhof ist</b>?</div>",A2–B1,M16 01 Questions,grammar questions retrieval
Непряме питання з ob?,"<div class=""rule""><b>Непряме питання з ob</b><br>Непряме питання з ob.</div><div class=""example""><b>Приклад:</b><br>Ich weiß nicht, <b>ob er kommt</b>.</div>",A2,M16 01 Questions,grammar questions A2
Практика 9: складіть речення за правилом «Непряме питання з ob».,"<div class=""rule""><b>Модель</b><br>Непряме питання з ob.</div><div class=""example""><b>Правильно:</b><br>Ich weiß nicht, <b>ob er kommt</b>.</div>",A2,M16 01 Questions,grammar questions retrieval
wo(r)- для речей?,"<div class=""rule""><b>wo(r)- для речей</b><br>wo(r)- для речей.</div><div class=""example""><b>Приклад:</b><br><b>Worauf</b> wartest du? — Auf den Bus.</div>",B1,M16 01 Questions,grammar questions B1
Практика 10: складіть речення за правилом «wo(r)- для речей».,"<div class=""rule""><b>Модель</b><br>wo(r)- для речей.</div><div class=""example""><b>Правильно:</b><br><b>Worauf</b> wartest du? — Auf den Bus.</div>",B1,M16 01 Questions,grammar questions retrieval
da(r)- для речей?,"<div class=""rule""><b>da(r)- для речей</b><br>da(r)- для речей.</div><div class=""example""><b>Приклад:</b><br>Ich warte auf den Bus. Ich warte <b>darauf</b>.</div>",B1,M16 01 Questions,grammar questions B1
Практика 11: складіть речення за правилом «da(r)- для речей».,"<div class=""rule""><b>Модель</b><br>da(r)- для речей.</div><div class=""example""><b>Правильно:</b><br>Ich warte auf den Bus. Ich warte <b>darauf</b>.</div>",B1,M16 01 Questions,grammar questions retrieval
womit / damit?,"<div class=""rule""><b>womit / damit</b><br>womit / damit.</div><div class=""example""><b>Приклад:</b><br><b>Womit</b> öffnest du das? — <b>Damit</b>.</div>",B1,M16 01 Questions,grammar questions B1
Практика 12: складіть речення за правилом «womit / damit».,"<div class=""rule""><b>Модель</b><br>womit / damit.</div><div class=""example""><b>Правильно:</b><br><b>Womit</b> öffnest du das? — <b>Damit</b>.</div>",B1,M16 01 Questions,grammar questions retrieval
