Front,Back,Level,Topic,Tags
Nominalisierung: arbeiten → die Arbeit?,"<div class=""rule""><b>Nominalisierung: arbeiten → die Arbeit</b><br>Nominalisierung: arbeiten → die Arbeit.</div><div class=""example""><b>Приклад:</b><br>Die <b>Arbeit</b> beginnt um acht.</div>",B1–B2,M17 01 B2 Structures,grammar b2 structures B1 B2
Практика 1: складіть речення за правилом «Nominalisierung: arbeiten → die Arbeit».,"<div class=""rule""><b>Модель</b><br>Nominalisierung: arbeiten → die Arbeit.</div><div class=""example""><b>Правильно:</b><br>Die <b>Arbeit</b> beginnt um acht.</div>",B1–B2,M17 01 B2 Structures,grammar b2 structures retrieval
entscheiden → die Entscheidung?,"<div class=""rule""><b>entscheiden → die Entscheidung</b><br>entscheiden → die Entscheidung.</div><div class=""example""><b>Приклад:</b><br>Wir treffen morgen eine <b>Entscheidung</b>.</div>",B2,M17 01 B2 Structures,grammar b2 structures B2
Практика 2: складіть речення за правилом «entscheiden → die Entscheidung».,"<div class=""rule""><b>Модель</b><br>entscheiden → die Entscheidung.</div><div class=""example""><b>Правильно:</b><br>Wir treffen morgen eine <b>Entscheidung</b>.</div>",B2,M17 01 B2 Structures,grammar b2 structures retrieval
verbessern → die Verbesserung?,"<div class=""rule""><b>verbessern → die Verbesserung</b><br>verbessern → die Verbesserung.</div><div class=""example""><b>Приклад:</b><br>Die <b>Verbesserung</b> ist deutlich.</div>",B2,M17 01 B2 Structures,grammar b2 structures B2
Практика 3: складіть речення за правилом «verbessern → die Verbesserung».,"<div class=""rule""><b>Модель</b><br>verbessern → die Verbesserung.</div><div class=""example""><b>Правильно:</b><br>Die <b>Verbesserung</b> ist deutlich.</div>",B2,M17 01 B2 Structures,grammar b2 structures retrieval
möglich → die Möglichkeit?,"<div class=""rule""><b>möglich → die Möglichkeit</b><br>möglich → die Möglichkeit.</div><div class=""example""><b>Приклад:</b><br>Es gibt eine gute <b>Möglichkeit</b>.</div>",B1–B2,M17 01 B2 Structures,grammar b2 structures B1 B2
Практика 4: складіть речення за правилом «möglich → die Möglichkeit».,"<div class=""rule""><b>Модель</b><br>möglich → die Möglichkeit.</div><div class=""example""><b>Правильно:</b><br>Es gibt eine gute <b>Möglichkeit</b>.</div>",B1–B2,M17 01 B2 Structures,grammar b2 structures retrieval
Partizip I як прикметник?,"<div class=""rule""><b>Partizip I як прикметник</b><br>Partizip I як прикметник.</div><div class=""example""><b>Приклад:</b><br>Der <b>wartende</b> Mann liest.</div>",B2,M17 01 B2 Structures,grammar b2 structures B2
Практика 5: складіть речення за правилом «Partizip I як прикметник».,"<div class=""rule""><b>Модель</b><br>Partizip I як прикметник.</div><div class=""example""><b>Правильно:</b><br>Der <b>wartende</b> Mann liest.</div>",B2,M17 01 B2 Structures,grammar b2 structures retrieval
