Front,Back,Level,Topic,Tags
wissen = факт; kennen = бути знайомим?,"<div class=""rule""><b>wissen = факт; kennen = бути знайомим</b><br>wissen = факт; kennen = бути знайомим.</div><div class=""example""><b>Приклад:</b><br>Ich <b>weiß</b> die Antwort; ich <b>kenne</b> Berlin.</div>",A2,M18 01 Typical Mistakes,grammar typical mistakes A2
Практика 1: складіть речення за правилом «wissen = факт; kennen = бути знайомим».,"<div class=""rule""><b>Модель</b><br>wissen = факт; kennen = бути знайомим.</div><div class=""example""><b>Правильно:</b><br>Ich <b>weiß</b> die Antwort; ich <b>kenne</b> Berlin.</div>",A2,M18 01 Typical Mistakes,grammar typical mistakes retrieval
"seit + Präsens для дії, що триває?","<div class=""rule""><b>seit + Präsens для дії, що триває</b><br>seit + Präsens для дії, що триває.</div><div class=""example""><b>Приклад:</b><br>Ich <b>wohne seit zwei Jahren</b> hier.</div>",A2,M18 01 Typical Mistakes,grammar typical mistakes A2
"Практика 2: складіть речення за правилом «seit + Präsens для дії, що триває».","<div class=""rule""><b>Модель</b><br>seit + Präsens для дії, що триває.</div><div class=""example""><b>Правильно:</b><br>Ich <b>wohne seit zwei Jahren</b> hier.</div>",A2,M18 01 Typical Mistakes,grammar typical mistakes retrieval
zu Hause vs nach Hause?,"<div class=""rule""><b>zu Hause vs nach Hause</b><br>zu Hause vs nach Hause.</div><div class=""example""><b>Приклад:</b><br>Ich bin <b>zu Hause</b>; ich gehe <b>nach Hause</b>.</div>",A1,M18 01 Typical Mistakes,grammar typical mistakes A1
Практика 3: складіть речення за правилом «zu Hause vs nach Hause».,"<div class=""rule""><b>Модель</b><br>zu Hause vs nach Hause.</div><div class=""example""><b>Правильно:</b><br>Ich bin <b>zu Hause</b>; ich gehe <b>nach Hause</b>.</div>",A1,M18 01 Typical Mistakes,grammar typical mistakes retrieval
bringen vs holen?,"<div class=""rule""><b>bringen vs holen</b><br>bringen vs holen.</div><div class=""example""><b>Приклад:</b><br>Ich <b>bringe</b> dir Kaffee; ich <b>hole</b> ihn aus der Küche.</div>",A2,M18 01 Typical Mistakes,grammar typical mistakes A2
Практика 4: складіть речення за правилом «bringen vs holen».,"<div class=""rule""><b>Модель</b><br>bringen vs holen.</div><div class=""example""><b>Правильно:</b><br>Ich <b>bringe</b> dir Kaffee; ich <b>hole</b> ihn aus der Küche.</div>",A2,M18 01 Typical Mistakes,grammar typical mistakes retrieval
bekommen не означає become?,"<div class=""rule""><b>bekommen не означає become</b><br>bekommen не означає become.</div><div class=""example""><b>Приклад:</b><br>Ich <b>bekomme</b> eine E-Mail; ich <b>werde</b> müde.</div>",A2,M18 01 Typical Mistakes,grammar typical mistakes A2
Практика 5: складіть речення за правилом «bekommen не означає become».,"<div class=""rule""><b>Модель</b><br>bekommen не означає become.</div><div class=""example""><b>Правильно:</b><br>Ich <b>bekomme</b> eine E-Mail; ich <b>werde</b> müde.</div>",A2,M18 01 Typical Mistakes,grammar typical mistakes retrieval
fragen + Akkusativ?,"<div class=""rule""><b>fragen + Akkusativ</b><br>fragen + Akkusativ.</div><div class=""example""><b>Приклад:</b><br>Ich <b>frage den Lehrer</b>.</div>",A1–A2,M18 01 Typical Mistakes,grammar typical mistakes A1 A2
Практика 6: складіть речення за правилом «fragen + Akkusativ».,"<div class=""rule""><b>Модель</b><br>fragen + Akkusativ.</div><div class=""example""><b>Правильно:</b><br>Ich <b>frage den Lehrer</b>.</div>",A1–A2,M18 01 Typical Mistakes,grammar typical mistakes retrieval
fragen nach + Dativ?,"<div class=""rule""><b>fragen nach + Dativ</b><br>fragen nach + Dativ.</div><div class=""example""><b>Приклад:</b><br>Ich <b>frage nach dem Weg</b>.</div>",A2,M18 01 Typical Mistakes,grammar typical mistakes A2
Практика 7: складіть речення за правилом «fragen nach + Dativ».,"<div class=""rule""><b>Модель</b><br>fragen nach + Dativ.</div><div class=""example""><b>Правильно:</b><br>Ich <b>frage nach dem Weg</b>.</div>",A2,M18 01 Typical Mistakes,grammar typical mistakes retrieval
antworten / helfen + Dativ?,"<div class=""rule""><b>antworten / helfen + Dativ</b><br>antworten / helfen + Dativ.</div><div class=""example""><b>Приклад:</b><br>Ich <b>antworte dir</b> und <b>helfe dir</b>.</div>",A2,M18 01 Typical Mistakes,grammar typical mistakes A2
Практика 8: складіть речення за правилом «antworten / helfen + Dativ».,"<div class=""rule""><b>Модель</b><br>antworten / helfen + Dativ.</div><div class=""example""><b>Правильно:</b><br>Ich <b>antworte dir</b> und <b>helfe dir</b>.</div>",A2,M18 01 Typical Mistakes,grammar typical mistakes retrieval
gefallen / gehören + Dativ?,"<div class=""rule""><b>gefallen / gehören + Dativ</b><br>gefallen / gehören + Dativ.</div><div class=""example""><b>Приклад:</b><br>Das Buch <b>gefällt mir</b> und <b>gehört mir</b>.</div>",A2,M18 01 Typical Mistakes,grammar typical mistakes A2
